t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
1.5050,,0.0,-1.096,0.395,147.028,,,0,,0,0.0,0.0,0.0,0.0
1.5560,,0.0,-1.100,0.400,147.084,,,0,,0,0.0,0.0,0.0,0.0
1.6012,,0.0,-1.112,0.384,147.192,,,0,,0,0.0,0.0,0.0,0.0
1.6999,,0.0,-1.098,0.357,147.052,,,0,,0,0.0,0.0,0.0,0.0
1.7486,,0.0,-1.005,0.396,147.057,,,0,,0,0.0,0.0,0.0,0.0
1.7909,,0.0,-0.962,0.372,147.157,,,0,,0,0.0,0.0,0.0,0.0
1.8341,,0.0,-1.102,0.350,147.112,,,0,,0,0.0,0.0,0.0,0.0
1.8769,,0.0,-1.120,0.373,147.156,,,0,,0,0.0,0.0,0.0,0.0
1.9227,,0.0,-1.067,0.332,147.053,,,0,,0,0.0,0.0,0.0,0.0
1.9734,,0.0,-1.100,0.381,147.021,,,0,,0,0.0,0.0,0.0,0.0
2.0214,,0.0,-1.072,0.339,147.040,,,0,,0,0.0,0.0,0.0,0.0
2.0572,,0.0,-1.109,0.380,147.172,,,0,,0,0.0,0.0,0.0,0.0
2.1041,,0.0,-0.047,-0.029,0.060,,,0,,0,0.0,0.0,0.0,0.0
2.1420,,0.0,-0.076,0.009,0.050,,,0,,0,0.0,0.0,0.0,0.0
2.1775,,0.0,0.012,0.022,-0.069,,,0,,0,0.0,0.0,0.0,0.0
2.2219,1,2.0,-0.031,0.027,0.021,,,0,stopped,0,0.0,0.0,0.0,0.0
2.2616,1,2.0,0.002,0.013,-0.028,,,0,stopped,0,0.0,0.0,0.0,0.0
2.3113,1,2.0,-0.061,-0.022,0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.3532,1,2.0,-0.009,0.015,-0.058,,,0,stopped,0,0.26,0.28,0.01,0.0
2.3919,1,2.0,-0.013,0.020,-0.027,,,0,stopped,0,0.26,0.28,0.01,0.0
2.4273,1,2.0,-0.030,0.004,0.001,,,0,stopped,0,0.26,0.28,0.01,0.0
2.4633,1,2.0,-0.063,-0.011,0.004,,,0,stopped,0,0.26,0.28,0.01,0.0
2.4990,1,2.0,-0.012,0.005,0.029,,,0,stopped,0,0.26,0.28,0.01,0.0
2.5415,1,2.0,-0.084,-0.032,-0.006,,,0,turning,0,0.26,0.28,0.01,0.0
2.5827,1,2.0,-0.035,-0.103,0.027,,,0,turning,0,0.26,0.28,0.01,0.0
2.6235,1,2.0,0.085,-0.095,-0.168,,,0,turning,0,0.26,0.28,0.01,0.0
2.6682,1,2.0,0.102,0.053,-0.084,,,0,turning,0,0.26,0.28,0.01,0.0
2.7110,1,2.0,0.329,-0.019,0.048,,,0,turning,0,0.26,0.28,0.01,0.0
2.7548,1,2.0,0.202,0.086,-0.060,,,0,turning,0,0.26,0.28,0.01,0.0
2.7988,1,2.0,0.053,0.003,0.147,,,0,turning,0,0.26,0.28,0.01,0.0
2.8378,1,2.4,-0.023,0.020,-0.020,,,0,turning,0,0.13,0.14,0.02,0.01
2.8750,1,2.4,-0.056,0.020,-0.016,,,0,turning,0,0.13,0.14,0.02,0.01
2.9196,1,2.4,0.076,-0.009,-0.003,,,0,turning,0,0.13,0.14,0.02,0.01
2.9733,1,2.4,-0.056,0.006,-0.020,,,0,turning,0,0.13,0.14,0.02,0.01
3.0194,1,2.4,0.116,-0.090,-0.013,,,0,turning,0,0.13,0.14,0.02,0.01
3.0764,1,2.4,0.066,-0.101,-0.014,,,0,turning,0,0.13,0.14,0.02,0.01
3.1262,1,2.4,0.043,-0.067,0.030,,,0,turning,0,0.13,0.14,0.02,0.01
3.1654,1,2.4,0.123,0.091,-0.201,,,0,turning,0,0.13,0.14,0.02,0.01
3.2128,1,2.4,0.166,-0.079,0.232,,,0,turning,0,0.13,0.14,0.02,0.01
3.2470,1,2.4,-0.044,-0.084,-0.018,,,0,turning,0,0.13,0.14,0.02,0.01
3.2886,1,2.4,0.278,-0.112,0.060,,,0,turning,0,0.13,0.14,0.02,0.01
