# ramp: 2->210Hz/10s/EASE/k2
t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
2.2226,,0.0,-0.835,2.031,146.716,,,0,,0,0.0,0.0,0.0,0.0
2.2484,,0.0,-0.834,1.996,146.695,,,0,,0,0.0,0.0,0.0,0.0
2.2535,,0.0,-0.834,1.996,146.695,,,0,,0,0.0,0.0,0.0,0.0
2.2587,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2639,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2688,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2740,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2830,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2836,,0.0,-0.839,1.995,146.696,,,0,,0,0.0,0.0,0.0,0.0
2.2887,,0.0,-0.849,2.005,146.722,,,0,,0,0.0,0.0,0.0,0.0
2.2941,,0.0,-0.849,2.005,146.722,,,0,,0,0.0,0.0,0.0,0.0
2.2989,,0.0,-0.849,2.005,146.722,,,0,,0,0.0,0.0,0.0,0.0
2.3120,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3176,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3257,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3284,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3339,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3380,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3461,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3472,,0.0,-0.836,1.998,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.3601,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3659,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3738,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3754,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3807,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3878,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3908,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.3962,,0.0,-0.851,1.951,146.698,,,0,,0,0.0,0.0,0.0,0.0
2.4003,,0.0,-0.838,1.992,146.706,,,0,,0,0.0,0.0,0.0,0.0
2.4053,,0.0,-0.838,1.992,146.706,,,0,,0,0.0,0.0,0.0,0.0
2.4106,,0.0,-0.838,1.992,146.706,,,0,,0,0.0,0.0,0.0,0.0
2.4174,,0.0,-0.831,2.014,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.4202,,0.0,-0.831,2.014,146.715,,,0,,0,0.0,0.0,0.0,0.0
2.4254,,0.0,-0.846,2.018,146.700,,,0,,0,0.0,0.0,0.0,0.0
2.4303,,0.0,-0.846,2.018,146.700,,,0,,0,0.0,0.0,0.0,0.0
2.4357,,0.0,-0.845,1.995,146.687,,,0,,0,0.0,0.0,0.0,0.0
2.4406,,0.0,-0.845,1.995,146.687,,,0,,0,0.0,0.0,0.0,0.0
2.4457,,0.0,-0.845,1.995,146.687,,,0,,0,0.0,0.0,0.0,0.0
2.4509,,0.0,-0.845,2.003,146.664,,,0,,0,0.0,0.0,0.0,0.0
2.4555,,0.0,-0.845,2.003,146.664,,,0,,0,0.0,0.0,0.0,0.0
2.4606,,0.0,-0.845,2.003,146.664,,,0,,0,0.0,0.0,0.0,0.0
2.4653,,0.0,-0.840,1.979,146.692,,,0,,0,0.0,0.0,0.0,0.0
2.4708,,0.0,-0.840,1.979,146.692,,,0,,0,0.0,0.0,0.0,0.0
2.4755,,0.0,-0.840,1.979,146.692,,,0,,0,0.0,0.0,0.0,0.0
2.4804,,0.0,-0.007,-0.007,0.000,,,0,,0,0.0,0.0,0.0,0.0
2.4860,,0.0,-0.007,-0.007,0.000,,,0,,0,0.0,0.0,0.0,0.0
2.4904,,0.0,-0.007,-0.007,0.000,,,0,,0,0.0,0.0,0.0,0.0
2.4969,,0.0,0.006,0.029,0.006,,,0,,0,0.0,0.0,0.0,0.0
2.5003,,0.0,0.006,0.029,0.006,,,0,,0,0.0,0.0,0.0,0.0
2.5055,,0.0,0.006,0.029,0.006,,,0,,0,0.0,0.0,0.0,0.0
2.5114,,0.0,0.004,0.040,0.007,,,0,,0,0.0,0.0,0.0,0.0
2.5155,,0.0,0.004,0.040,0.007,,,0,,0,0.0,0.0,0.0,0.0
2.5205,,0.0,-0.006,0.057,0.015,,,0,,0,0.0,0.0,0.0,0.0
2.5258,0,0.0,-0.006,0.057,0.015,,,0,,0,0.0,0.0,0.0,0.0
2.5305,0,0.0,-0.024,0.002,0.017,,,0,,0,0.0,0.0,0.0,0.0
2.5359,1,2.0,-0.024,0.002,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5404,1,2.0,-0.024,0.002,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5462,1,2.0,-0.035,-0.037,0.042,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5501,1,2.0,-0.035,-0.037,0.042,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5556,1,2.0,-0.035,-0.037,0.042,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5603,1,2.0,-0.030,0.004,0.022,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5656,1,2.0,-0.030,0.004,0.022,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5707,1,2.0,-0.030,0.004,0.022,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5759,1,2.0,0.019,0.026,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5810,1,2.0,0.019,0.026,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5853,1,2.0,0.019,0.026,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5907,1,2.0,0.066,0.000,0.019,,,0,stopped,0,0.0,0.0,0.0,0.0
2.5960,1,2.0,0.066,0.000,0.019,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6005,1,2.0,0.066,0.000,0.019,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6054,1,2.0,0.078,0.032,0.057,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6273,1,2.0,0.033,0.003,0.009,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6378,1,2.0,0.033,0.003,0.009,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6433,1,2.0,0.033,0.003,0.009,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6482,1,2.0,-0.010,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6532,1,2.0,-0.010,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6583,1,2.0,-0.010,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6632,1,2.0,0.030,-0.027,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6679,1,2.0,0.030,-0.027,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6732,1,2.0,0.030,-0.027,-0.003,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6781,1,2.0,0.021,0.018,0.006,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6834,1,2.0,0.021,0.018,0.006,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6881,1,2.0,0.021,0.018,0.006,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6938,1,2.0,-0.013,0.087,0.027,,,0,stopped,0,0.0,0.0,0.0,0.0
2.6980,1,2.0,-0.013,0.087,0.027,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7034,1,2.0,-0.013,0.087,0.027,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7078,1,2.0,0.000,0.030,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7133,1,2.0,0.000,0.030,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7178,1,2.0,0.000,0.030,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7234,1,2.0,0.000,0.030,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7282,1,2.0,0.064,-0.067,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7332,1,2.0,0.064,-0.067,0.017,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7390,1,2.0,-0.008,0.025,0.040,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7438,1,2.0,-0.008,0.025,0.040,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7480,1,2.0,-0.008,0.025,0.040,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7543,1,2.0,-0.030,0.036,0.021,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7579,1,2.0,-0.030,0.036,0.021,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7636,1,2.0,-0.038,0.016,-0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7684,1,2.0,-0.038,0.016,-0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7732,1,2.0,-0.038,0.016,-0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7787,1,2.0,-0.038,0.016,-0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7843,1,2.0,0.002,0.013,0.015,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7880,1,2.0,0.002,0.013,0.015,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7933,1,2.0,0.002,0.013,0.015,,,0,stopped,0,0.0,0.0,0.0,0.0
2.7989,1,2.0,0.002,0.014,0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8032,1,2.0,0.002,0.014,0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8083,1,2.0,0.002,0.014,0.007,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8133,1,2.0,0.039,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8182,1,2.0,0.039,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8231,1,2.0,0.039,-0.008,-0.005,,,0,stopped,0,0.0,0.0,0.0,0.0
2.8278,1,2.2,0.039,0.019,0.000,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8331,1,2.2,0.039,0.019,0.000,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8382,1,2.2,0.090,0.061,0.028,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8435,1,2.2,0.090,0.061,0.028,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8481,1,2.2,0.088,0.050,0.104,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8544,1,2.2,0.088,0.050,0.104,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8580,1,2.2,0.088,0.050,0.104,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8631,1,2.2,0.114,0.018,0.083,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8683,1,2.2,0.114,0.018,0.083,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8731,1,2.2,0.114,0.018,0.083,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8781,1,2.2,0.115,0.011,0.089,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8831,1,2.2,0.115,0.011,0.089,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8883,1,2.2,0.115,0.011,0.089,,,0,stopped,0,0.02,0.02,0.18,0.17
2.8933,1,2.2,0.151,0.068,0.043,,,0,turning,0,0.02,0.02,0.18,0.17
2.8991,1,2.2,0.151,0.068,0.043,,,0,turning,0,0.02,0.02,0.18,0.17
2.9028,1,2.2,0.151,0.068,0.043,,,0,turning,0,0.02,0.02,0.18,0.17
2.9082,1,2.2,0.127,0.102,0.045,,,0,turning,0,0.02,0.02,0.18,0.17
2.9131,1,2.2,0.127,0.102,0.045,,,0,turning,0,0.02,0.02,0.18,0.17
2.9182,1,2.2,0.121,0.136,0.032,,,0,turning,0,0.02,0.02,0.18,0.17
2.9230,1,2.2,0.121,0.136,0.032,,,0,turning,0,0.02,0.02,0.18,0.17
2.9283,1,2.2,0.121,0.136,0.032,,,0,turning,0,0.02,0.02,0.18,0.17
2.9329,1,2.2,0.143,0.122,0.034,,,0,turning,0,0.02,0.02,0.18,0.17
2.9383,1,2.2,0.143,0.122,0.034,,,0,turning,0,0.02,0.02,0.18,0.17
2.9435,1,2.2,0.055,0.101,0.021,,,0,turning,0,0.02,0.02,0.18,0.17
2.9493,1,2.2,0.055,0.101,0.021,,,0,turning,0,0.02,0.02,0.18,0.17
2.9528,1,2.2,0.055,0.101,0.021,,,0,turning,0,0.02,0.02,0.18,0.17
2.9583,1,2.2,-0.020,0.124,0.055,,,0,turning,0,0.02,0.02,0.18,0.17
2.9632,1,2.2,-0.020,0.124,0.055,,,0,turning,0,0.02,0.02,0.18,0.17
2.9682,1,2.2,-0.020,0.124,0.055,,,0,turning,0,0.02,0.02,0.18,0.17
2.9734,1,2.2,0.012,0.078,0.031,,,0,turning,0,0.02,0.02,0.18,0.17
