# ramp: 2->85Hz/8s/EASE/k2 + 85->105Hz/10s/POLY/k1
t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
2.5352,,0.0,0.441,0.940,145.617,,,0,,0,0.0,0.0,0.0,0.0
2.5575,,0.0,0.444,0.963,145.587,,,0,,0,0.0,0.0,0.0,0.0
2.5626,,0.0,0.444,0.963,145.587,,,0,,0,0.0,0.0,0.0,0.0
2.5680,,0.0,0.442,0.932,145.615,,,0,,0,0.0,0.0,0.0,0.0
2.5730,,0.0,0.442,0.932,145.615,,,0,,0,0.0,0.0,0.0,0.0
2.5782,,0.0,0.442,0.932,145.615,,,0,,0,0.0,0.0,0.0,0.0
2.5831,,0.0,0.429,0.954,145.637,,,0,,0,0.0,0.0,0.0,0.0
2.5883,,0.0,0.429,0.954,145.637,,,0,,0,0.0,0.0,0.0,0.0
2.5929,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.5997,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6028,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6082,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6160,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6182,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6231,,0.0,0.427,0.914,145.638,,,0,,0,0.0,0.0,0.0,0.0
2.6286,,0.0,0.435,0.910,145.623,,,0,,0,0.0,0.0,0.0,0.0
2.6326,,0.0,0.435,0.910,145.623,,,0,,0,0.0,0.0,0.0,0.0
2.6436,,0.0,0.435,0.910,145.623,,,0,,0,0.0,0.0,0.0,0.0
2.6489,,0.0,0.435,0.910,145.623,,,0,,0,0.0,0.0,0.0,0.0
2.6542,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6592,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6647,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6703,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6762,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6793,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6853,,0.0,0.433,0.943,145.630,,,0,,0,0.0,0.0,0.0,0.0
2.6903,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.6990,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7085,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7096,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7147,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7190,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7251,,0.0,0.435,0.954,145.550,,,0,,0,0.0,0.0,0.0,0.0
2.7317,,0.0,0.433,0.910,145.595,,,0,,0,0.0,0.0,0.0,0.0
2.7344,,0.0,0.433,0.910,145.595,,,0,,0,0.0,0.0,0.0,0.0
2.7393,,0.0,0.433,0.910,145.595,,,0,,0,0.0,0.0,0.0,0.0
2.7444,,0.0,0.433,0.910,145.595,,,0,,0,0.0,0.0,0.0,0.0
2.7494,,0.0,0.438,0.943,145.601,,,0,,0,0.0,0.0,0.0,0.0
