# ramp: 2->8Hz/6s/EASE/k2 + 8->120Hz/14s/EASE/k2
t,state,f_hz,x_mm,y_mm,z_mm,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
2.4606,,0.0,-0.158,1.440,146.517,,,0,,0,0.0,0.0,0.0,0.0
2.4850,,0.0,-0.151,1.443,146.513,,,0,,0,0.0,0.0,0.0,0.0
2.4903,,0.0,-0.151,1.443,146.513,,,0,,0,0.0,0.0,0.0,0.0
2.4954,,0.0,-0.151,1.443,146.513,,,0,,0,0.0,0.0,0.0,0.0
2.5006,,0.0,-0.145,1.445,146.508,,,0,,0,0.0,0.0,0.0,0.0
2.5056,,0.0,-0.145,1.445,146.508,,,0,,0,0.0,0.0,0.0,0.0
2.5105,,0.0,-0.145,1.445,146.508,,,0,,0,0.0,0.0,0.0,0.0
2.5155,,0.0,-0.145,1.445,146.508,,,0,,0,0.0,0.0,0.0,0.0
2.5204,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5255,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5300,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5354,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5427,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5455,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5509,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5562,,0.0,-0.157,1.440,146.509,,,0,,0,0.0,0.0,0.0,0.0
2.5603,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5650,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5775,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5835,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5879,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5930,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.5981,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.6029,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
2.6116,,0.0,-0.169,1.435,146.521,,,0,,0,0.0,0.0,0.0,0.0
