# ramp: 2->8Hz/6s/EASE/k2 + 8->110Hz/12s/EASE/k2
t,state,f_hz,x_mm,y_mm,z_mm,tilt_deg,tilt_az_deg,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
2.4169,,,-0.532,1.234,146.785,43.07,-19.4,,,0,,0,,,,
2.4197,,,-0.532,1.234,146.785,43.07,-19.4,,,0,,0,,,,
2.4209,,,-0.532,1.234,146.785,43.07,-19.4,,,0,,0,,,,
2.4230,,,-0.532,1.234,146.785,43.07,-19.4,,,0,,0,,,,
2.4249,,,-0.532,1.234,146.785,43.07,-19.4,,,0,,0,,,,
2.4270,,,-0.747,1.279,146.813,42.66,-17.8,,,0,,0,,,,
2.4295,,0.0,-0.747,1.279,146.813,42.66,-17.8,,,0,,0,0.0,0.0,0.0,0.0
2.4321,,0.0,-0.747,1.279,146.813,42.66,-17.8,,,0,,0,0.0,0.0,0.0,0.0
2.4329,,0.0,-0.747,1.279,146.813,42.66,-17.8,,,0,,0,0.0,0.0,0.0,0.0
2.4351,,0.0,-0.747,1.279,146.813,42.66,-17.8,,,0,,0,0.0,0.0,0.0,0.0
2.4370,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4397,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4410,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4430,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4451,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4472,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4490,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4514,,0.0,-0.556,1.274,146.598,42.51,-18.6,,,0,,0,0.0,0.0,0.0,0.0
2.4531,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4553,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4574,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4591,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4610,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4630,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4712,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4739,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4755,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4773,,0.0,-0.490,1.252,146.682,42.44,-18.4,,,0,,0,0.0,0.0,0.0,0.0
2.4795,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4817,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4834,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4877,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4899,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4924,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4938,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4962,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4977,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.4998,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.5077,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.5097,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.5120,,0.0,-0.497,1.243,146.756,42.66,-18.9,,,0,,0,0.0,0.0,0.0,0.0
2.5140,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5157,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5180,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5198,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5217,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5237,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5258,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5290,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5299,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5337,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5357,,0.0,-0.516,1.221,146.719,42.69,-19.7,,,0,,0,0.0,0.0,0.0,0.0
2.5414,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5446,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5510,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5537,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5551,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5625,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5646,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5677,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
2.5685,,0.0,-0.514,1.221,146.691,42.70,-20.0,,,0,,0,0.0,0.0,0.0,0.0
