# ramp: 2->8Hz/6s/EASE/k2 + 8->110Hz/12s/EASE/k2
# trim: resultant weak direction 0 deg (coil A), strength 0.40, from 20 Hz
t,state,f_hz,x_mm,y_mm,z_mm,tilt_deg,tilt_az_deg,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
3.1014,,,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,,,,
3.1034,,,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,,,,
3.1066,,,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,,,,
3.1076,,,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,,,,
3.1093,,0.0,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,0.0,0.0,0.0,0.0
3.1115,,0.0,-0.508,1.264,146.715,41.70,-17.8,,,0,,0,0.0,0.0,0.0,0.0
3.1136,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1159,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1181,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1195,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1216,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1236,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1261,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1274,,0.0,-0.528,1.261,146.729,42.11,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1296,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1372,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1392,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1418,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1432,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1452,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1473,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1495,,0.0,-0.515,1.259,146.714,42.13,-17.9,,,0,,0,0.0,0.0,0.0,0.0
3.1519,,0.0,-0.538,1.264,146.723,42.03,-17.9,,,0,,0,0.0,0.0,0.0,0.0
