# ramp: 2->210Hz/30s/EASE/k2
# trim: resultant weak direction 0 deg (coil A), strength 0.00 (off)
t,state,f_hz,x_mm,y_mm,z_mm,tilt_deg,tilt_az_deg,acc_tilt_x,acc_tilt_y,cmd_tilt_x,cmd_tilt_y,mag,az,armed,spin,lost,i_a,i_b,i_c,i_d
0.0000,2,,10.000,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4833,2,,9.999,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4857,2,,9.997,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4875,2,,9.994,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4896,2,,9.990,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4915,2,,9.984,0.000,10.000,,,,,0.0000,0.0000,,,0,,0,,,,
1.4936,2,,9.977,0.000,9.999,,,,,0.0000,0.0000,,,0,,0,,,,
1.4956,2,,9.968,0.000,9.998,,,,,0.0000,0.0000,,,0,,0,,,,
1.4976,2,,9.959,0.000,9.997,,,,,0.0000,0.0000,,,0,,0,,,,
1.4996,2,,9.948,0.000,9.994,,,,,0.0000,0.0000,,,0,,0,,,,
1.5015,2,,9.935,0.000,9.991,,,,,0.0000,0.0000,,,0,,0,,,,
1.5036,2,,9.922,0.000,9.987,,,,,0.0000,0.0000,,,0,,0,,,,
1.5056,2,,9.907,0.000,9.982,,,,,0.0000,0.0000,,,0,,0,,,,
1.5077,2,,9.891,0.000,9.975,,,,,0.0000,0.0000,,,0,,0,,,,
1.5096,2,,9.874,0.000,9.968,,,,,0.0000,0.0000,,,0,,0,,,,
1.5114,2,,9.856,0.000,9.959,,,,,0.0000,0.0000,,,0,,0,,,,
1.5136,2,,9.836,0.000,9.948,,,,,0.0000,0.0000,,,0,,0,,,,
1.5156,2,,9.816,0.000,9.937,,,,,0.0000,0.0000,,,0,,0,,,,
1.5176,2,,9.794,0.000,9.924,,,,,0.0000,0.0000,,,0,,0,,,,
1.5196,2,,9.771,0.000,9.910,,,,,0.0000,0.0000,,,0,,0,,,,
1.5216,2,,9.747,0.000,9.895,,,,,0.0000,0.0000,,,0,,0,,,,
1.5235,2,,9.722,0.000,9.880,,,,,0.0000,0.0000,,,0,,0,,,,
1.5256,2,,9.695,0.000,9.863,,,,,0.0000,0.0000,,,0,,0,,,,
1.5275,2,,9.668,0.000,9.846,,,,,0.0000,0.0000,,,0,,0,,,,
1.5296,2,,9.639,0.000,9.829,,,,,0.0000,0.0000,,,0,,0,,,,
1.5316,2,,9.610,0.000,9.812,,,,,0.0000,0.0000,,,0,,0,,,,
1.5336,2,,9.579,0.000,9.794,,,,,0.0000,0.0000,,,0,,0,,,,
1.5356,2,,9.548,0.000,9.777,,,,,0.0000,0.0000,,,0,,0,,,,
1.5376,2,,9.515,0.000,9.759,,,,,0.0000,0.0000,,,0,,0,,,,
1.5396,2,,9.482,0.000,9.742,,,,,0.0000,0.0000,,,0,,0,,,,
1.5416,2,,9.448,0.000,9.724,,,,,0.0000,0.0000,,,0,,0,,,,
1.5436,2,,9.412,0.000,9.706,,,,,0.0000,0.0000,,,0,,0,,,,
1.5456,2,,9.376,0.000,9.688,,,,,0.0000,0.0000,,,0,,0,,,,
1.5476,2,,9.339,0.000,9.670,,,,,0.0000,0.0000,,,0,,0,,,,
1.5496,2,,9.301,0.000,9.652,,,,,0.0000,0.0000,,,0,,0,,,,
1.5516,2,,9.262,0.000,9.632,,,,,0.0000,0.0000,,,0,,0,,,,
1.5536,2,,9.223,0.000,9.613,,,,,0.0000,0.0000,,,0,,0,,,,
1.5556,2,,9.182,0.000,9.592,,,,,0.0000,0.0000,,,0,,0,,,,
1.5576,2,,9.141,0.000,9.571,,,,,0.0000,0.0000,,,0,,0,,,,
1.5596,2,,9.099,0.000,9.548,,,,,0.0000,0.0000,,,0,,0,,,,
1.5616,2,,9.056,0.000,9.525,,,,,0.0000,0.0000,,,0,,0,,,,
1.5636,2,,9.013,0.000,9.500,,,,,0.0000,0.0000,,,0,,0,,,,
1.5656,2,,8.969,0.000,9.475,,,,,0.0000,0.0000,,,0,,0,,,,
1.5676,2,,8.924,0.000,9.448,,,,,0.0000,0.0000,,,0,,0,,,,
1.5696,2,,8.879,0.000,9.421,,,,,0.0000,0.0000,,,0,,0,,,,
1.5716,2,,8.833,0.000,9.392,,,,,0.0000,0.0000,,,0,,0,,,,
1.5736,2,,8.786,0.000,9.363,,,,,0.0000,0.0000,,,0,,0,,,,
1.5756,2,,8.739,0.000,9.334,,,,,0.0000,0.0000,,,0,,0,,,,
1.5776,2,,8.691,0.000,9.304,,,,,0.0000,0.0000,,,0,,0,,,,
1.5796,2,,8.642,0.000,9.273,,,,,0.0000,0.0000,,,0,,0,,,,
1.5816,2,,8.593,0.000,9.242,,,,,0.0000,0.0000,,,0,,0,,,,
1.5836,2,,8.544,0.000,9.211,,,,,0.0000,0.0000,,,0,,0,,,,
1.5856,2,,8.494,0.000,9.180,,,,,0.0000,0.0000,,,0,,0,,,,
1.5876,2,,8.443,0.000,9.150,,,,,0.0000,0.0000,,,0,,0,,,,
1.5896,2,,8.392,0.000,9.119,,,,,0.0000,0.0000,,,0,,0,,,,
1.5916,2,,8.341,0.000,9.088,,,,,0.0000,0.0000,,,0,,0,,,,
1.5936,2,,8.289,0.000,9.058,,,,,0.0000,0.0000,,,0,,0,,,,
1.5956,2,,8.237,0.000,9.027,,,,,0.0000,0.0000,,,0,,0,,,,
1.5976,2,,8.184,0.000,8.997,,,,,0.0000,0.0000,,,0,,0,,,,
1.5996,2,,8.131,0.000,8.966,,,,,0.0000,0.0000,,,0,,0,,,,
1.6016,2,,8.078,0.000,8.935,,,,,0.0000,0.0000,,,0,,0,,,,
1.6036,2,,8.024,0.000,8.904,,,,,0.0000,0.0000,,,0,,0,,,,
1.6056,2,,7.970,0.000,8.873,,,,,0.0000,0.0000,,,0,,0,,,,
1.6076,2,,7.916,0.000,8.840,,,,,0.0000,0.0000,,,0,,0,,,,
1.6096,2,,7.861,0.000,8.808,,,,,0.0000,0.0000,,,0,,0,,,,
1.6116,2,,7.806,0.000,8.774,,,,,0.0000,0.0000,,,0,,0,,,,
1.6136,2,,7.751,0.000,8.740,,,,,0.0000,0.0000,,,0,,0,,,,
1.6156,2,,7.696,0.000,8.705,,,,,0.0000,0.0000,,,0,,0,,,,
1.6175,2,,7.640,0.000,8.670,,,,,0.0000,0.0000,,,0,,0,,,,
1.6196,2,,7.584,0.000,8.633,,,,,0.0000,0.0000,,,0,,0,,,,
1.6216,2,,7.528,0.000,8.596,,,,,0.0000,0.0000,,,0,,0,,,,
1.6236,2,,7.472,0.000,8.558,,,,,0.0000,0.0000,,,0,,0,,,,
1.6256,2,,7.415,0.000,8.520,,,,,0.0000,0.0000,,,0,,0,,,,
1.6276,2,,7.359,0.000,8.481,,,,,0.0000,0.0000,,,0,,0,,,,
1.6296,2,,7.302,0.000,8.442,,,,,0.0000,0.0000,,,0,,0,,,,
1.6316,2,,7.245,0.000,8.403,,,,,0.0000,0.0000,,,0,,0,,,,
1.6336,2,,7.188,0.000,8.363,,,,,0.0000,0.0000,,,0,,0,,,,
1.6356,2,,7.131,0.000,8.324,,,,,0.0000,0.0000,,,0,,0,,,,
1.6376,2,,7.074,0.000,8.285,,,,,0.0000,0.0000,,,0,,0,,,,
1.6396,2,,7.017,0.000,8.246,,,,,0.0000,0.0000,,,0,,0,,,,
1.6416,2,,6.959,0.000,8.207,,,,,0.0000,0.0000,,,0,,0,,,,
1.6436,2,,6.902,0.000,8.168,,,,,0.0000,0.0000,,,0,,0,,,,
