A (I),A (V),B(I),B(V),C(I),C(V),D(I),D(V)
6.02,392,6,392.8,6.262,416.5,5.967,386.9
6.026,390.4,5.937,391.2,6.251,412.1,5.955,381.3
6.08,391.7,5.989,390.3,6.232,411.3,6.006,390.4
6.139,397,6.021,396.1,6.313,409.6,6.054,395.3
6.283,408.8,6.094,402.9,6.368,419.8,6.057,396
6.274,414.3,6.11,402.9,6.407,425.5,6.136,405.1
6.313,430.8,6.101,405.5,6.493,428.8,6.134,394.7
6.385,419.6,6.212,413.1,6.474,427.2,6.183,391.8
6.388,432.9,6.184,407.6,6.652,444.9,6.223,398.4
6.427,429.4,6.202,410.3,6.646,447.5,6.216,402.2
6.497,429.4,6.188,412.8,6.735,449.9,6.305,404.4
6.492,428.1,6.152,408.8,6.703,442.4,6.296,404.4
6.566,437.3,6.242,414.9,6.725,448.4,6.311,407.1
6.568,435.3,6.22,412.7,6.758,438.4,6.383,413.5
6.639,442.6,6.232,408.7,6.807,449,6.367,419.1
6.656,448.5,6.318,418.5,6.798,449,6.364,410
6.65,449.9,6.306,418.6,6.82,453.4,6.437,406.5
6.671,440,6.374,416.8,6.862,447.1,6.452,419.3
6.719,448.6,6.39,422.1,6.844,458.6,6.447,418.3
6.742,451,6.49,425.1,6.854,454.6,6.457,418.8
6.789,457.8,6.563,433.1,6.935,455,6.532,424.6
6.821,446.7,6.556,435.1,6.933,461.9,6.521,426.7
6.849,455.4,6.549,435.4,7.006,469.5,6.528,417
6.89,464.9,6.629,443.6,7.063,469.2,6.577,462.2
6.929,450,6.621,436.9,7.095,472.3,6.662,428.8
6.97,451.6,6.616,437.5,7.117,470.3,6.658,431
6.991,459.2,6.697,451.1,7.174,474.7,6.712,434.2
7.031,463.8,6.689,447.4,7.168,475.1,6.74,440.7
7.119,472.6,6.747,449.1,7.177,475.7,6.735,438.3
,,6.828,449,7.238,478.9,6.815,438.4
,,6.796,453.7,7.315,490.3,6.803,430
,,6.877,456.7,7.366,492.2,6.794,445.7
,,6.953,462.8,,,6.869,448.8
,,6.944,461.2,,,6.901,449.5
,,,,,,6.982,454.3
,,,,,,6.991,455.7
,,,,,,7.015,455.6
,,,,,,7.057,457.3
