aborted_unsafe,cost,direction,feasible,mean_spread,note,overcurrent_frac,q_spread,r_duty,sat_frac,trial
False,0.31466666666666665,ccw,True,0.18966666666666665,,0.0,50.0,0.1,0.25,1
False,0.205,ccw,True,0.07999999999999999,,0.0,75.0,0.1,0.25,2
False,1000000.0,ccw,False,None,q_spread out of bounds,None,112.5,0.1,None,3
False,0.21442857142857144,ccw,True,0.08942857142857144,,0.0,75.0,0.15000000000000002,0.25,4
True,1000000.0,ccw,True,None,live overcurrent 3.12A > 3.00A,None,75.0,0.06666666666666667,None,5
False,0.238,ccw,True,0.113,,0.0,75.0,0.125,0.25,6
True,1000000.0,ccw,True,None,live overcurrent 3.07A > 3.00A,None,75.0,0.08000000000000002,None,7
False,0.2292857142857143,ccw,True,0.10428571428571429,,0.0,75.0,0.1125,0.25,8
True,1000000.0,ccw,True,None,live overcurrent 3.02A > 3.00A,None,75.0,0.08888888888888889,None,9
False,0.5471428571428572,ccw,True,0.42214285714285715,,0.0,75.0,0.1,0.25,10
