"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C7,C8","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3,C5","2","100uF","","","","EEH-ZC1H10:CAP_EEH-ZC_10P3X10P3_PAN","~"
"C4,C6","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","SMCJ18A","","","","Diode_SMD:D_SMC-RM10_Universal_Handsoldering","~"
"H1,H2,H3,H8","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1,J2","2","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J3,J4","2","Conn_01x02_Pin","","","","PinHeader_1x04_P2.54mm_Vertical.kicad_mod:matrix5x5","~"
"J5,J10","2","XT30UPB-M","","","","XT30UPB-M:AMASS_XT30UPB-M",""
"J49","1","XT60PW-M","","","","XT60PW-M:AMASS_XT60PW-M",""
"Q1,Q2","2","FDD8447L","","","","Package_TO_SOT_SMD:TO-252-2","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1,R5,R6,R7,R8,R9","6","1k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R4,R10,R11,R12","6","4.7k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1,U2","2","VNH5019A-E","","","","Package_SO:ST_MultiPowerSO-30","https://www.st.com/resource/en/datasheet/vnh5019a-e.pdf"
"U3,U4","2","NC7SVU04P5X","","","","Package_TO_SOT_SMD:SOT-353_SC-70-5","https://www.onsemi.com/pub/Collateral/NC7SVU04-D.pdf"
