Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C7, C8",0805,4,0.1uF,
"C3, C5",CAP_EEH-ZC_10P3X10P3_PAN,2,100uF,
"C4, C6",0805,2,1uF,
D1,D_SMC-RM10_Universal_Handsoldering,1,SMCJ18A,
INA1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,INB1,
INA2,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,INB2,
INB1,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,INA1,
INB2,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,INA2,
"J1, J2",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,
"J10, J5",AMASS_XT30UPB-M,2,XT30UPB-M,
"J3, J4",matrix5x5,2,Conn_01x02_Pin,
J49,AMASS_XT60PW-M,1,XT60PW-M,
"OUT1_2, OUT1",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,OUTB,
"OUT2_2, OUT2",TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,2,OUTA,
PGND,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,GND1,
"Q1, Q2",TO-252-2,2,FDD8447L,
"R1, R5, R6, R7, R8, R9",0805,6,1k,
"R10, R11, R12, R2, R3, R4",0805,6,4.7k,
"U1, U2",ST_MultiPowerSO-30,2,VNH5019A-E,
"U3, U4",SOT-353_SC-70-5,2,NC7SVU04P5X,
VM,TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded,1,VM1,
