Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.02746666,0.01236000,0.02502518,-0.01022370
0.00100000,0.03250221,0.02243110,0.01998962,-0.01266518
0.00200000,0.02746666,0.01236000,0.01998962,-0.00762963
0.00300000,0.02746666,0.00000000,0.06775109,-0.02273629
0.00400000,0.03006073,0.00488296,0.00991852,-0.01770074
0.00500000,0.01998962,0.00747703,0.02258370,-0.01022370
0.00600000,0.03250221,0.00991852,0.03250221,-0.02029481
0.00700000,0.01998962,0.01739555,0.03509629,-0.00259407
0.00800000,0.02502518,0.00000000,0.00747703,-0.01266518
0.00900000,0.02746666,0.00488296,0.02502518,-0.00518815
0.01000000,0.03509629,0.01236000,0.01251259,-0.01022370
0.01100000,0.02746666,0.01495407,0.01251259,-0.01266518
0.01200000,0.03006073,0.02487259,0.00991852,0.01510666
0.01300000,0.02746666,0.00991852,0.01251259,-0.01266518
0.01400000,0.02243110,0.00991852,0.02258370,-0.00762963
0.01500000,0.01998962,0.00991852,0.01251259,-0.01525925
0.01600000,0.03753777,0.00991852,0.02761925,-0.00518815
0.01700000,0.02243110,0.01236000,0.01495407,-0.01770074
0.01800000,0.02243110,0.01236000,0.01998962,-0.00518815
0.01900000,0.01495407,0.00244148,0.00244148,0.00000000
0.02000000,0.03753777,0.00991852,0.01495407,-0.01525925
0.02100000,0.02746666,0.01495407,0.01495407,-0.00762963
0.02200000,0.01495407,0.01495407,0.03006073,-0.01266518
0.02300000,0.01251259,0.01236000,0.01754814,-0.01770074
0.02400000,0.02243110,0.00000000,0.01495407,-0.01770074
0.02500000,0.02502518,0.00244148,0.01998962,-0.01525925
0.02600000,0.02746666,0.00991852,0.01998962,-0.01770074
0.02700000,0.02243110,0.01236000,0.01998962,-0.02273629
0.02800000,0.03509629,0.00244148,0.00991852,-0.02777184
0.02900000,0.02502518,0.00488296,0.03006073,-0.00259407
0.03000000,0.02746666,0.00747703,0.02502518,-0.00518815
0.03100000,0.02502518,0.02243110,0.01754814,-0.00762963
0.03200000,0.01251259,0.01236000,0.02761925,-0.00259407
0.03300000,0.02243110,0.00747703,0.01251259,-0.01022370
0.03400000,0.03006073,0.01495407,0.01754814,-0.00762963
0.03500000,0.03006073,0.01236000,0.02761925,-0.01525925
0.03600000,0.01495407,0.00747703,0.02502518,-0.00259407
0.03700000,0.02243110,0.00488296,0.01754814,0.01007111
0.03800000,0.03753777,0.02243110,0.01495407,-0.00518815
0.03900000,0.01495407,0.00244148,0.02258370,-0.02029481
0.04000000,0.01251259,0.00000000,0.02502518,-0.02029481
0.04100000,0.02502518,0.00488296,0.01251259,0.01754814
0.04200000,0.02746666,0.01739555,0.02258370,-0.01525925
0.04300000,0.02502518,0.00991852,0.01754814,-0.01525925
0.04400000,0.02746666,0.01998962,0.01495407,-0.02273629
0.04500000,0.02746666,0.01236000,0.01754814,-0.02533036
0.04600000,0.03753777,0.00991852,0.01754814,-0.01525925
0.04700000,0.01754814,0.01739555,0.01495407,-0.01770074
0.04800000,0.02746666,0.01739555,0.01998962,-0.00518815
0.04900000,0.03753777,0.01998962,0.04760887,0.00000000
0.05000000,0.03006073,-0.00503555,0.02258370,-0.01266518
0.05100000,0.02502518,-0.00503555,0.02502518,-0.01022370
0.05200000,0.01998962,0.01739555,0.01495407,-0.02533036
0.05300000,0.02243110,0.02746666,0.01754814,-0.01022370
0.05400000,0.02502518,0.00991852,0.02502518,-0.01525925
0.05500000,0.01495407,0.01236000,0.01495407,-0.01770074
0.05600000,0.01251259,0.00488296,0.02761925,-0.00518815
0.05700000,0.04257332,0.03738517,0.02258370,0.01007111
0.05800000,0.02243110,0.01236000,0.03006073,-0.01266518
0.05900000,0.01998962,0.02487259,0.01998962,-0.01525925
0.06000000,0.02243110,0.00747703,0.01754814,-0.01770074
0.06100000,0.03006073,0.00488296,0.02502518,-0.02029481
0.06200000,0.02502518,0.00991852,0.01998962,0.00244148
0.06300000,0.02243110,0.01998962,0.02258370,-0.01266518
0.06400000,0.02746666,0.02746666,0.01754814,-0.02273629
0.06500000,0.02243110,0.00991852,0.01495407,-0.00518815
0.06600000,0.03509629,0.00488296,0.01998962,-0.01525925
0.06700000,0.04257332,0.00488296,0.01754814,-0.00762963
0.06800000,0.02746666,0.02487259,0.02258370,-0.01770074
0.06900000,0.02502518,0.01739555,0.01495407,-0.02029481
0.07000000,0.01754814,0.01236000,0.00991852,-0.01525925
0.07100000,0.02502518,0.00488296,0.02258370,-0.00259407
0.07200000,0.01754814,0.02243110,0.02258370,-0.00518815
0.07300000,0.02243110,0.00488296,0.01998962,0.00503555
0.07400000,0.02502518,0.01236000,0.01251259,-0.02273629
0.07500000,0.03997925,0.01739555,0.03753777,-0.02533036
0.07600000,0.02243110,0.01739555,0.02502518,-0.00762963
0.07700000,0.02243110,0.00000000,0.01754814,-0.01525925
0.07800000,0.03006073,0.00488296,0.01754814,-0.00518815
0.07900000,0.02502518,0.01998962,0.02761925,-0.00259407
0.08000000,0.03509629,0.01998962,0.01754814,-0.01770074
0.08100000,0.01998962,0.02746666,0.03250221,-0.01022370
0.08200000,0.01998962,0.00000000,0.01495407,-0.01022370
0.08300000,0.03006073,0.00244148,0.03006073,-0.02029481
0.08400000,0.02746666,0.02243110,0.03509629,-0.01525925
0.08500000,0.01754814,0.00747703,0.01495407,-0.02029481
0.08600000,0.02243110,0.00747703,0.02502518,-0.01266518
