Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-20.90194511,-37.33735657,-22.43409348,-41.32391357
0.00012207,-25.98851204,-25.33854294,-25.37955856,-24.96447754
0.00024414,-31.18816185,-29.73499680,-31.13957214,-29.22094727
0.00036621,-42.69982147,-42.39670563,-52.50145340,-40.08535004
0.00048828,-49.33993530,-45.65553665,-40.53823471,-47.74498367
0.00061035,-45.72418213,-43.28181458,-40.58982468,-46.96338654
0.00073242,-48.38211060,-46.61056519,-43.88969040,-48.49531174
0.00085449,-51.26833344,-50.36870956,-50.55996323,-49.88169098
0.00097656,-53.67950439,-54.84818268,-68.48122406,-50.72001648
0.00109863,-55.92240906,-61.20224762,-63.49500275,-51.39018250
0.00122070,-62.29797363,-65.01205444,-56.78981781,-51.03901672
0.00134277,-68.42505646,-60.98276138,-53.72794342,-52.12783432
0.00146484,-65.75830078,-59.06811523,-52.97340775,-54.04600525
0.00158691,-59.25028229,-63.19128036,-56.91843414,-55.56137848
0.00170898,-58.55489731,-59.78532410,-61.57388306,-57.19379044
0.00183105,-62.14007568,-59.37538528,-59.92995834,-57.99337006
0.00195313,-72.44448853,-62.17102051,-61.76879120,-58.62280273
0.00207520,-68.74041748,-66.44661713,-65.79614258,-61.95048904
0.00219727,-67.30927277,-79.42601013,-62.30513000,-66.22618103
0.00231934,-67.51947784,-64.19024658,-62.58238220,-70.61807251
0.00244141,-62.67858887,-60.88355637,-62.88030243,-73.29611969
0.00256348,-65.91975403,-61.94618225,-62.13735199,-66.27951813
0.00268555,-85.04432678,-62.63452148,-61.35269928,-67.32911682
0.00280762,-65.63974762,-64.91682434,-65.69791412,-78.09455109
0.00292969,-63.46019363,-69.33255768,-73.43430328,-81.73072052
0.00305176,-64.39556885,-68.21509552,-64.44215393,-82.23823547
0.00317383,-63.18975067,-65.54604340,-65.67056274,-81.01760101
0.00329590,-66.16345978,-64.80108643,-63.16248322,-80.37808228
0.00341797,-67.89559937,-66.65772247,-67.90911865,-76.03999329
0.00354004,-65.79673004,-68.61955261,-63.41659164,-68.36436462
0.00366211,-66.82041931,-66.48962402,-68.21241760,-65.13059235
0.00378418,-69.13937378,-61.27975845,-62.50655365,-66.22168732
0.00390625,-64.21064758,-60.27511215,-66.19802856,-68.25326538
0.00402832,-63.29662704,-62.51741409,-71.22634888,-66.21883392
0.00415039,-67.23246765,-66.56782532,-63.26802826,-63.98434448
0.00427246,-70.24172974,-69.29747772,-60.64564133,-63.01091003
0.00439453,-73.38464355,-69.31249237,-63.39315796,-65.61499786
0.00451660,-71.78234100,-67.99948120,-61.47103119,-67.39979553
0.00463867,-69.35086060,-70.67953491,-61.23337173,-63.00654602
0.00476074,-74.19947815,-71.13869476,-64.03932190,-61.37637329
0.00488281,-82.72103119,-69.04328918,-62.20609665,-62.44195938
0.00500488,-74.69070435,-69.14317322,-59.00184631,-62.12086487
0.00512695,-71.18111420,-69.24349976,-58.15844727,-61.46285629
0.00524902,-74.08020020,-74.79164124,-56.82993317,-62.97263718
0.00537109,-74.01974487,-80.95962524,-56.87575912,-62.92486191
0.00549316,-69.80593872,-72.14933777,-57.54956818,-60.61943436
0.00561523,-67.02363586,-67.98994446,-56.75761795,-58.60716248
0.00573731,-67.99633789,-69.63866425,-57.33209229,-58.30883789
0.00585938,-66.68580627,-67.61653137,-59.70327377,-58.82903671
0.00598145,-66.91773987,-64.37396240,-58.85276031,-58.86562729
0.00610352,-67.97014618,-63.22050095,-59.03817749,-60.43478394
0.00622559,-64.11400604,-62.27880096,-60.64591980,-62.23796082
0.00634766,-62.20145416,-62.37131119,-61.28954315,-61.70967102
0.00646973,-63.55920792,-64.02611542,-62.61944199,-62.15750122
0.00659180,-63.86420441,-65.35731506,-63.50554657,-64.17588043
0.00671387,-62.17958069,-63.45866394,-62.14482117,-66.07999420
0.00683594,-61.39276123,-61.22052765,-62.78810883,-66.72253418
0.00695801,-61.18492508,-60.85094070,-69.15935516,-68.22732544
0.00708008,-61.34987640,-61.83046341,-78.96832275,-69.60414886
0.00720215,-62.42969131,-62.98374557,-74.72983551,-70.75604248
0.00732422,-62.77058411,-61.56649780,-68.02144623,-71.19139862
0.00744629,-62.52873993,-60.15367889,-68.47787476,-73.77186584
0.00756836,-61.48506546,-60.62287903,-70.12728882,-74.71699524
0.00769043,-59.60086441,-63.07697296,-65.74814606,-70.95262146
0.00781250,-60.10829544,-64.08489990,-65.03548431,-67.65608978
0.00793457,-63.70885468,-64.45836639,-65.87988281,-66.48792267
0.00805664,-66.50490570,-65.71108246,-65.70265198,-67.51934814
0.00817871,-64.32427216,-65.71246338,-70.74485016,-68.14693451
0.00830078,-61.86547089,-63.80940247,-66.74169159,-67.19198608
0.00842285,-62.47621918,-62.09096909,-61.85996628,-65.79732513
0.00854492,-63.94864655,-62.48090744,-62.32913208,-65.32501221
0.00866699,-61.74774170,-62.07166672,-64.41445160,-67.53664398
0.00878906,-60.50642395,-61.27956390,-66.13706970,-73.42268372
0.00891113,-61.36302185,-61.20944214,-67.91365814,-75.92566681
0.00903320,-60.83570862,-59.63857269,-70.44633484,-71.13252258
0.00915527,-60.48095703,-58.35804367,-74.51275635,-78.24224854
0.00927734,-60.68353271,-59.58357239,-80.79208374,-79.51248169
0.00939941,-59.73841858,-61.78334808,-65.92858124,-73.84528351
0.00952148,-58.76343155,-61.02176666,-62.25696564,-69.86203766
0.00964356,-59.52494049,-58.85117340,-62.01739502,-65.10266113
0.00976563,-59.51242828,-58.38375092,-61.14306641,-61.68691254
0.00988770,-58.34565735,-59.66614151,-60.47465897,-59.82039642
0.01000977,-59.99611282,-61.07250214,-59.90705109,-59.87543106
0.01013184,-62.87313080,-62.19699478,-57.97885132,-59.95588684
0.01025391,-62.43634033,-63.99842834,-56.33254623,-59.93949890
0.01037598,-60.58602905,-65.86790466,-55.78493118,-59.13268280
0.01049805,-60.04508209,-65.88431549,-55.19268036,-57.25815201
0.01062012,-61.45395660,-63.98544693,-55.47794724,-56.71589661
0.01074219,-62.35556030,-64.23922729,-56.52617645,-56.62256241
0.01086426,-63.47917938,-64.82865906,-56.14965057,-55.99260712
0.01098633,-66.74105835,-68.62362671,-54.29351807,-55.95901108
0.01110840,-67.23014069,-74.65210724,-54.09733582,-56.96382904
0.01123047,-64.77975464,-68.57540894,-55.96546936,-57.92361450
0.01135254,-67.16975403,-66.44307709,-58.75486374,-58.43904495
0.01147461,-66.80334473,-67.17681122,-60.53908920,-58.33368301
0.01159668,-64.44078064,-66.00683594,-59.61859131,-57.45880890
0.01171875,-64.03492737,-63.52777863,-59.19711304,-57.41177368
0.01184082,-65.14755249,-63.14598083,-62.89842606,-59.35557556
0.01196289,-64.35028076,-64.68255615,-66.50556183,-61.42770386
0.01208496,-62.69773483,-66.42298889,-62.93153381,-62.28380203
0.01220703,-63.40303421,-69.45259857,-58.67448807,-63.54904175
0.01232910,-64.96346283,-69.11592102,-57.64356232,-62.10253906
0.01245117,-64.82752228,-65.42567444,-58.68889618,-59.94632721
0.01257324,-66.63765717,-63.16053391,-59.75035095,-59.92076492
0.01269531,-67.21330261,-62.68278503,-60.85535431,-62.27070236
0.01281738,-63.99278259,-64.53431702,-61.52027130,-63.72694016
0.01293945,-62.58366013,-66.96611023,-61.39260864,-62.93273163
0.01306152,-61.87482452,-63.03338623,-62.87765503,-64.82072449
0.01318359,-60.24095917,-58.75095749,-68.65342712,-67.15890503
0.01330566,-59.36360931,-57.40793610,-75.04173279,-65.30958557
0.01342774,-59.65533447,-57.07401276,-77.03089905,-64.60574341
0.01354981,-59.03603363,-56.85624695,-82.08129120,-64.39183044
0.01367188,-57.28027344,-57.54455185,-93.20891571,-64.63024139
0.01379395,-56.50405121,-57.79132843,-76.16022491,-63.49154663
0.01391602,-56.86859894,-56.76644897,-65.83609772,-62.47733307
0.01403809,-56.65512466,-56.01123810,-61.75115204,-62.44110870
0.01416016,-56.02913666,-55.47704697,-60.61740494,-60.94815826
0.01428223,-55.53560638,-55.18167114,-61.99362946,-58.64278793
0.01440430,-55.38032150,-56.28684616,-60.63607788,-57.58248901
0.01452637,-55.62329865,-57.22010040,-58.04006958,-58.17513275
0.01464844,-55.89450455,-59.05525589,-56.25535965,-60.88647461
0.01477051,-56.43252563,-61.66479492,-56.94952393,-63.77627945
0.01489258,-56.98958969,-60.10987091,-60.30033875,-63.29055023
0.01501465,-57.61957169,-58.60545731,-61.39824677,-62.77131653
0.01513672,-57.89120483,-57.78325653,-60.71908951,-64.39133453
0.01525879,-57.89454651,-57.61730576,-61.41468048,-65.91842651
0.01538086,-58.30506134,-57.99761200,-62.81216431,-68.15614319
0.01550293,-57.30511093,-57.64200592,-66.67745209,-76.94874573
0.01562500,-57.16947174,-57.36666107,-66.23330688,-67.77934265
0.01574707,-58.28105164,-57.31181717,-61.26582718,-62.81861877
0.01586914,-58.89694977,-57.36572647,-60.99853134,-60.44504547
0.01599121,-59.71588898,-59.27357101,-61.35615921,-59.28224945
0.01611328,-60.77989578,-62.07921600,-58.51545334,-58.68856430
0.01623535,-62.93468857,-64.36800385,-55.81133270,-58.25046539
0.01635742,-67.51870728,-71.70620728,-54.73481750,-57.79642105
0.01647949,-71.52396393,-72.12195587,-54.87067795,-57.16716385
0.01660156,-74.30642700,-68.47824860,-55.70070648,-56.49427795
0.01672363,-84.02311707,-66.07555389,-55.51042175,-55.37981033
0.01684570,-69.51850128,-63.73574829,-54.63962936,-54.42800903
0.01696777,-64.98144531,-64.48265839,-54.87310028,-54.58641052
0.01708984,-61.71967316,-64.20111084,-56.43912506,-55.21450043
0.01721192,-59.21755219,-63.46448517,-58.31752777,-55.87238693
0.01733399,-58.84444427,-63.64141464,-58.12466049,-55.36886597
0.01745606,-59.84628296,-61.31751633,-56.27479172,-54.54708862
0.01757813,-59.81033707,-58.80752945,-55.78324127,-54.58427048
0.01770020,-58.84585953,-58.60104370,-55.48563004,-54.75403214
0.01782227,-58.43858719,-60.27164841,-55.30524826,-54.91052628
0.01794434,-57.88824081,-61.00530624,-54.62978745,-55.89214706
