Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-9.97309971,-11.95022964,-8.82490826,-14.17948151
0.00012207,-14.77582455,-15.75205040,-13.41773415,-17.50597000
0.00024414,-20.32716751,-19.44324684,-18.11908913,-22.01491165
0.00036621,-28.74197769,-25.26494789,-23.60639191,-32.16634750
0.00048828,-34.31481934,-29.07151222,-26.64165878,-36.17524719
0.00061035,-37.61861420,-31.34118080,-30.61016846,-35.90359497
0.00073242,-39.62036896,-34.54690552,-37.60939789,-38.06576538
0.00085449,-39.64997864,-39.16064835,-45.99889755,-41.79929352
0.00097656,-40.16893005,-45.78490448,-48.90447617,-47.13028717
0.00109863,-41.82875061,-58.76413345,-45.91236496,-48.68528748
0.00122070,-44.41922760,-54.80426788,-42.64770126,-46.38376617
0.00134277,-46.92781830,-53.05572128,-41.51235962,-46.54587173
0.00146484,-47.72042084,-55.68976593,-42.73963547,-48.93191910
0.00158691,-47.92124176,-56.64939880,-47.02090836,-51.92617035
0.00170898,-49.68637466,-55.07298279,-49.47810364,-53.25836182
0.00183105,-52.74146271,-56.58132172,-48.73138046,-52.72905350
0.00195313,-56.65615082,-60.70201492,-49.82559586,-53.79207993
0.00207520,-60.56134796,-63.90896225,-51.83135605,-56.91063309
0.00219727,-63.79083252,-64.64188385,-55.33143997,-59.83599854
0.00231934,-59.47523499,-64.71292114,-65.44709015,-63.33198166
0.00244141,-56.40162659,-62.64095688,-57.97353745,-66.11477661
0.00256348,-56.71401596,-60.58704758,-52.92708969,-68.40097046
0.00268555,-57.81988525,-61.98834229,-52.74154663,-73.70973206
0.00280762,-58.44726944,-68.10748291,-54.28611755,-80.69354248
0.00292969,-61.05613327,-72.56990814,-57.76305771,-74.58224487
0.00305176,-59.94809723,-68.82336426,-55.72929382,-66.13022614
0.00317383,-58.82746124,-66.53231049,-53.67363739,-67.49512482
0.00329590,-63.35906982,-69.49479675,-55.35317993,-72.77395630
0.00341797,-63.41002655,-65.40762329,-57.42292404,-65.73759460
0.00354004,-64.16172791,-71.06774902,-58.23844528,-68.85459137
0.00366211,-68.25667572,-71.18792725,-60.36676788,-69.45368958
0.00378418,-66.07229614,-68.58949280,-58.10862732,-68.98508453
0.00390625,-61.66882324,-79.60031128,-59.69171906,-72.47575378
0.00402832,-61.09660339,-72.65347290,-64.25803375,-75.67801666
0.00415039,-65.24011230,-77.13344574,-59.56125259,-67.46608734
0.00427246,-65.14913940,-76.58349609,-61.01013184,-69.70978546
0.00439453,-64.04349518,-68.16259003,-68.69824982,-70.13754272
0.00451660,-65.35317230,-74.00732422,-58.04643631,-77.02784729
0.00463867,-64.33274078,-75.06016541,-60.09095001,-67.56272125
0.00476074,-67.18272400,-69.23227692,-65.03436279,-69.15497589
0.00488281,-66.34362793,-68.04624939,-57.42998505,-69.53244019
0.00500488,-64.30447388,-70.80010986,-59.72884369,-66.46817017
0.00512695,-66.33652496,-81.65795135,-69.40066528,-70.69773865
0.00524902,-73.53496552,-74.78984070,-57.48740387,-70.61721039
0.00537109,-68.14295959,-68.02514648,-58.56980133,-77.55427551
0.00549316,-66.22354126,-79.38578796,-79.51358795,-68.97467041
0.00561523,-69.02025604,-67.32582092,-59.04190445,-66.44167328
0.00573731,-73.74167633,-63.53107452,-58.69768524,-67.05030823
0.00585938,-64.77764893,-63.69338226,-65.24041748,-68.34674835
0.00598145,-69.06684875,-72.48989105,-58.42685318,-65.48390198
0.00610352,-70.40657806,-69.65169525,-60.40118790,-68.99214935
0.00622559,-64.49288177,-70.10186005,-77.45930481,-69.05228424
0.00634766,-66.71338654,-65.95225525,-59.49741745,-66.94892883
0.00646973,-77.20212555,-65.66733551,-60.10116577,-67.29054260
0.00659180,-64.30727386,-68.85316467,-69.59291077,-68.37748718
0.00671387,-62.43140411,-66.15496826,-61.96821594,-68.08678436
0.00683594,-71.84419250,-62.48751831,-61.78486633,-72.80800629
0.00695801,-66.28672791,-63.43337631,-65.31996918,-69.77297211
0.00708008,-62.36090088,-73.45721436,-69.56745911,-67.47919464
0.00720215,-70.08940125,-68.05344391,-67.27856445,-73.20997620
0.00732422,-65.90068054,-66.41687012,-72.57701874,-81.57299042
0.00744629,-63.84430313,-67.94071960,-97.72080231,-80.46517944
0.00756836,-74.97278595,-65.85508728,-69.46112061,-73.91529846
0.00769043,-62.47570419,-67.81510925,-64.79882050,-67.58645630
0.00781250,-60.04250336,-71.52281189,-76.25581360,-69.19819641
0.00793457,-67.73263550,-87.46736145,-62.62973785,-71.30467224
0.00805664,-65.66833496,-68.48619080,-59.41820526,-69.63502502
0.00817871,-63.56384277,-69.05228424,-68.94516754,-70.26985168
0.00830078,-62.99814224,-68.02400970,-65.34516144,-68.40953064
0.00842285,-69.42449951,-64.08642578,-64.54588318,-71.88722229
0.00854492,-67.98043823,-67.00563049,-78.88375092,-81.92704010
0.00866699,-63.09259796,-66.72860718,-61.68447495,-78.36296844
0.00878906,-67.55171204,-70.57328796,-61.02968597,-69.18725586
0.00891113,-72.49731445,-65.17540741,-68.37099457,-69.37156677
0.00903320,-62.17447662,-64.54095459,-70.61001587,-67.81961823
0.00915527,-63.02295685,-64.52363586,-66.93746185,-65.89951324
0.00927734,-65.96818542,-64.00845337,-65.66262054,-69.33564758
0.00939941,-64.85664368,-62.98436737,-62.91095734,-69.39489746
0.00952148,-65.30342865,-63.72230911,-71.16113281,-68.16247559
0.00964356,-63.75626373,-64.50296783,-69.95538330,-72.90463257
0.00976563,-61.68465424,-66.70923615,-65.96650696,-72.73731232
0.00988770,-61.98191071,-66.84214783,-71.38063812,-64.31773376
0.01000977,-69.86102295,-67.61819458,-62.85787964,-63.49530029
0.01013184,-63.63568115,-62.96342468,-61.55970001,-63.43479538
0.01025391,-62.87210846,-62.06953049,-63.11009979,-64.19496155
0.01037598,-70.58000183,-68.79039001,-63.55384827,-63.96914673
0.01049805,-68.98137665,-74.56127930,-57.28319550,-60.07460785
0.01062012,-63.98143768,-69.45111084,-59.21404266,-60.78318787
0.01074219,-67.20696259,-68.24464417,-65.22733307,-60.69943237
0.01086426,-73.71516418,-66.41648865,-59.59713745,-60.59825897
0.01098633,-85.01580811,-70.23002625,-61.51889801,-62.59069061
0.01110840,-70.49440002,-70.50456238,-67.00460052,-63.41880035
0.01123047,-68.42298889,-64.72604370,-58.89714813,-62.02812195
0.01135254,-73.19700623,-68.32507324,-60.47843552,-61.43508911
0.01147461,-67.49185181,-83.23291016,-65.83798981,-61.64702606
0.01159668,-65.01914215,-67.28089142,-58.70228577,-66.37399292
0.01171875,-75.52586365,-66.79849243,-58.64967346,-63.82910919
0.01184082,-65.21517944,-73.40178680,-64.93669891,-63.44890213
0.01196289,-63.25069427,-68.91992188,-68.41358185,-65.26796722
0.01208496,-72.74771118,-67.42821503,-63.33540344,-64.50524139
0.01220703,-69.28357697,-69.65203857,-66.50625610,-69.12459564
0.01232910,-62.21473312,-76.28321075,-71.15859222,-71.50674438
0.01245117,-62.26978302,-64.90793610,-63.43503571,-80.52242279
0.01257324,-67.86939240,-62.03033829,-60.38250351,-64.10992432
0.01269531,-93.09259033,-62.30831146,-61.89849854,-61.75866699
0.01281738,-68.99907684,-65.80681610,-72.30325317,-65.71326447
0.01293945,-69.38716125,-74.73085785,-62.76703644,-65.48789215
0.01306152,-64.48721313,-63.94141388,-68.60976410,-62.31052017
0.01318359,-60.11082077,-62.43857956,-68.07599640,-64.33222961
0.01330566,-60.78401947,-68.07087708,-64.53170013,-68.22525024
0.01342774,-65.42257690,-60.44645309,-67.02859497,-64.90805817
0.01354981,-61.89178467,-58.63524628,-70.22455597,-63.43315506
0.01367188,-60.91669464,-60.21327591,-71.71015167,-67.27851105
0.01379395,-60.91297150,-60.44970703,-62.13425064,-72.92424011
0.01391602,-61.38984680,-59.77287674,-61.23936462,-66.37406158
0.01403809,-59.50269699,-62.32286072,-71.33822632,-64.23981476
0.01416016,-58.95938110,-63.64112091,-64.01927185,-65.74996185
0.01428223,-60.84236526,-60.50537109,-60.71920776,-66.17897797
0.01440430,-58.18533325,-61.42662430,-61.67060471,-60.94723129
0.01452637,-58.84117889,-62.24423218,-60.94033813,-58.27198410
0.01464844,-61.13677979,-63.68507767,-65.25955200,-59.30633545
0.01477051,-60.15866852,-71.61160278,-62.06548309,-61.22140884
0.01489258,-60.51504517,-61.09165573,-62.26219559,-64.97344971
0.01501465,-65.01918030,-58.62798309,-66.10150146,-67.20299530
0.01513672,-63.16497040,-58.78119659,-63.74974823,-71.25856781
0.01525879,-60.23783875,-62.11547089,-71.08376312,-71.45846558
0.01538086,-61.16302490,-64.51621246,-75.82489777,-75.05635071
0.01550293,-60.48444748,-62.97664642,-86.88221741,-71.74821472
0.01562500,-60.20188904,-62.59091187,-68.06483459,-65.37312317
0.01574707,-64.35996246,-61.77614594,-68.13066101,-64.14851379
0.01586914,-64.57246399,-62.61898422,-70.61925507,-62.39711761
0.01599121,-62.92751312,-62.40750885,-61.59967041,-63.53277588
0.01611328,-66.67853546,-63.72541046,-60.04857635,-67.19153595
0.01623535,-64.65041351,-61.94824219,-63.79734421,-62.31515884
0.01635742,-66.91654968,-67.94725037,-56.99585724,-58.95243073
0.01647949,-73.78024292,-66.79583740,-55.46518707,-57.17098618
0.01660156,-71.39328766,-64.10905457,-59.47000504,-60.10625458
0.01672363,-69.04080200,-69.23643494,-59.74486542,-59.28756332
0.01684570,-69.83528137,-68.45825958,-59.70742798,-56.59118652
0.01696777,-71.01696777,-67.23873901,-60.97124481,-59.31163406
0.01708984,-64.89782715,-69.00917053,-59.17395020,-58.81456757
0.01721192,-64.75939941,-63.21920395,-59.64115906,-57.53427505
0.01733399,-64.91975403,-61.76535034,-58.67939377,-57.38945007
0.01745606,-60.73707199,-59.89244843,-58.67435455,-58.76832962
0.01757813,-60.48565674,-63.21436310,-59.57085037,-59.02191162
0.01770020,-64.70137787,-62.40657806,-57.48816681,-58.15041351
0.01782227,-60.99292374,-60.08104706,-60.65658951,-59.95104980
0.01794434,-60.72760010,-60.35096741,-62.08141708,-60.97497940
