Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-17.75328255,-26.14123344,-18.48335075,-30.87262344
0.00012207,-22.71872711,-23.03065872,-22.09259033,-23.41467857
0.00024414,-28.27822685,-26.89033890,-27.92651749,-27.32236671
0.00036621,-40.56222916,-37.16163635,-40.59726715,-40.30364609
0.00048828,-45.19644165,-40.61073685,-36.42741776,-46.50413895
0.00061035,-43.26635742,-39.40864944,-37.87184525,-43.50959778
0.00073242,-45.76378250,-42.35671616,-41.71633911,-45.50365448
0.00085449,-47.19795609,-46.49888611,-47.74770737,-46.66025543
0.00097656,-48.41688156,-51.39102554,-62.20496750,-48.64157104
0.00109863,-51.46324158,-58.69222260,-58.19951630,-48.87872696
0.00122070,-57.70854568,-59.81864548,-52.73461914,-48.11333466
0.00134277,-59.60054398,-58.25986862,-49.88002777,-49.74708557
0.00146484,-63.83361053,-61.25237274,-50.60972595,-51.69473267
0.00158691,-57.45573044,-60.34621429,-55.80484390,-52.59333038
0.00170898,-58.27215576,-59.09753418,-62.53801727,-53.74398041
0.00183105,-62.91313553,-59.99026871,-57.41533661,-54.87205124
0.00195313,-66.66855621,-63.06344986,-56.26802063,-57.13562393
0.00207520,-64.87550354,-66.45321655,-56.47016907,-61.49494934
0.00219727,-68.39157867,-70.26778412,-60.18830109,-61.49821472
0.00231934,-66.11453247,-69.64333344,-63.01181412,-63.70589447
0.00244141,-62.54151917,-63.60010147,-59.39470291,-68.83714294
0.00256348,-74.65753937,-60.49059296,-57.46646500,-70.77487183
0.00268555,-64.49126434,-62.08674622,-62.04228973,-75.04962158
0.00280762,-63.25652313,-72.68288422,-59.37213516,-69.04259491
0.00292969,-68.71112061,-68.62609100,-73.68457031,-70.03123474
0.00305176,-67.95082092,-67.58007812,-67.71189117,-82.96619415
0.00317383,-64.20144653,-67.38342285,-61.65823364,-77.09738159
0.00329590,-70.83224487,-62.52567673,-63.49639511,-80.46894836
0.00341797,-70.72037506,-59.91137695,-69.76525116,-83.29661560
0.00354004,-65.16646576,-60.25090790,-63.00803375,-76.39456940
0.00366211,-67.97023773,-61.37893677,-67.37961578,-73.51618958
0.00378418,-70.88013458,-64.13800049,-60.29829407,-89.81082153
0.00390625,-63.75205994,-69.57692719,-59.26746750,-70.88142395
0.00402832,-65.01251221,-67.67169189,-63.03824997,-67.67731476
0.00415039,-68.33847809,-65.57284546,-61.94343185,-67.43479156
0.00427246,-62.20979309,-65.50466156,-60.21984100,-67.66608429
0.00439453,-63.34260941,-66.69322205,-65.34259033,-66.75965118
0.00451660,-73.78480530,-71.77192688,-59.68724060,-67.09685516
0.00463867,-71.25488281,-79.66067505,-60.36598587,-66.25289154
0.00476074,-71.88418579,-78.99760437,-65.00827026,-63.23366165
0.00488281,-77.55939484,-73.12396240,-60.66319275,-62.65113831
0.00500488,-73.97345734,-74.84330750,-58.38365936,-64.68859100
0.00512695,-88.42440796,-73.84591675,-59.66517639,-65.05786133
0.00524902,-75.11711884,-72.28923035,-57.35316849,-62.86933517
0.00537109,-80.54129791,-71.05223083,-57.69997025,-62.06176376
0.00549316,-67.17567444,-66.59779358,-60.34597397,-61.21355057
0.00561523,-64.38315582,-61.94005966,-58.02244186,-60.18896103
0.00573731,-68.57270813,-60.95195007,-57.76303864,-60.58384705
0.00585938,-68.87607574,-62.29169464,-61.39417648,-61.13149643
0.00598145,-69.50988007,-66.53340149,-61.59965897,-61.16413116
0.00610352,-70.56787872,-66.19531250,-61.58662415,-62.30857468
0.00622559,-64.73753357,-61.61033630,-66.33734894,-62.68066788
0.00634766,-62.75209427,-60.83076859,-65.55859375,-61.88225555
0.00646973,-63.69918442,-60.66633224,-63.62287903,-63.51822662
0.00659180,-60.94222641,-60.69584656,-64.93180847,-65.19880676
0.00671387,-58.24826050,-61.54792023,-62.80504608,-65.46627808
0.00683594,-58.82682419,-61.67877197,-63.67447662,-66.87964630
0.00695801,-60.66724777,-62.84214783,-68.25168610,-69.52404785
0.00708008,-60.95898056,-63.27635956,-69.90315247,-70.97216797
0.00720215,-62.51134872,-61.34617233,-66.97254944,-68.03986359
0.00732422,-63.86344147,-61.28667831,-65.11034393,-64.75679016
0.00744629,-62.89739609,-62.03690338,-70.76082611,-64.01409149
0.00756836,-63.84989929,-61.98348999,-67.22622681,-63.87115097
0.00769043,-66.37361145,-63.21624374,-63.66771698,-64.30988312
0.00781250,-64.70584106,-64.27468872,-64.59366608,-66.82918549
0.00793457,-63.37791061,-63.32687378,-62.96887207,-70.08244324
0.00805664,-65.70136261,-63.53321075,-59.54868698,-71.23281097
0.00817871,-66.77490234,-63.60343933,-61.02397156,-71.97576904
0.00830078,-65.13358307,-62.83971786,-61.02375412,-72.91757965
0.00842285,-64.59872437,-62.53982162,-59.65954208,-69.27204132
0.00854492,-63.65522003,-63.81042862,-61.26132202,-68.21195221
0.00866699,-61.65310669,-65.17416382,-63.24464417,-71.99021149
0.00878906,-61.19710922,-65.12140656,-62.19799805,-73.39227295
0.00891113,-60.47647476,-64.58273315,-66.76963043,-67.45291138
0.00903320,-59.49250031,-62.20077515,-72.67578888,-66.26259613
0.00915527,-59.60525894,-60.69943237,-68.60388947,-68.90326691
0.00927734,-59.62245941,-59.03343201,-70.71241760,-70.03746796
0.00939941,-59.31399536,-57.76160812,-65.84023285,-69.17834473
0.00952148,-59.00542831,-58.10200119,-64.11875916,-68.39303589
0.00964356,-58.85213470,-57.88789749,-66.39352417,-65.34583282
0.00976563,-59.43023682,-57.49503708,-62.60377884,-62.79198456
0.00988770,-60.09828186,-59.06171799,-60.76496887,-62.12238312
0.01000977,-62.17396545,-62.65303802,-59.06259918,-60.73744965
0.01013184,-65.12352753,-63.44950867,-55.44380951,-59.32344818
0.01025391,-63.62846756,-60.90555191,-55.14553833,-58.36541748
0.01037598,-64.00565338,-60.56121063,-57.91107559,-57.16912079
0.01049805,-64.53078461,-62.57637024,-58.33778763,-56.39393616
0.01062012,-63.22515488,-64.75672150,-57.51411819,-56.75088501
0.01074219,-63.46956635,-66.37976074,-56.45536423,-57.57688522
0.01086426,-64.38135529,-66.06306458,-54.85809708,-58.27893066
0.01098633,-63.64925003,-65.38998413,-54.44037628,-59.10620880
0.01110840,-62.68549347,-65.54089355,-55.34158707,-60.55587387
0.01123047,-63.10196304,-64.48443604,-56.63943481,-60.40127563
0.01135254,-65.32479858,-62.66887283,-57.86454010,-58.55862045
0.01147461,-64.28770447,-63.99747467,-58.40391541,-58.48913574
0.01159668,-61.64135361,-66.24025726,-58.32853317,-59.96410751
0.01171875,-62.53044891,-64.33291626,-57.99352646,-61.02483368
0.01184082,-65.02068329,-61.92118073,-59.09064865,-62.52603912
0.01196289,-63.62725830,-61.02574158,-61.13209534,-63.02684784
0.01208496,-61.98152161,-61.72323227,-60.08657837,-61.37944031
0.01220703,-63.45836258,-64.42912292,-58.64251709,-61.37668228
0.01232910,-65.26567078,-66.74773407,-60.17738724,-63.22893143
0.01245117,-63.32696533,-69.43270874,-62.15030289,-63.30295563
0.01257324,-62.04117584,-68.27821350,-62.00664520,-61.58955383
0.01269531,-62.04398727,-63.21492767,-60.26596451,-61.09343719
0.01281738,-60.87389374,-61.81972885,-59.31479645,-61.80894470
0.01293945,-59.64977646,-61.82233429,-58.31338501,-63.27294159
0.01306152,-59.74405289,-61.33146286,-59.51488876,-66.68045807
0.01318359,-59.72043991,-60.63053513,-64.06324768,-69.65997314
0.01330566,-59.00171280,-59.35836792,-67.37863922,-70.08729553
0.01342774,-58.97074127,-58.53169250,-65.68492889,-71.20464325
0.01354981,-58.27975845,-58.38439560,-68.05413055,-74.75126648
0.01367188,-56.78893280,-58.23851013,-72.10224915,-70.71755219
0.01379395,-56.34451294,-58.55706024,-72.56212616,-64.65092468
0.01391602,-56.55250931,-59.24256134,-62.51591492,-61.89915085
0.01403809,-56.94203949,-59.36454010,-59.58219147,-60.85177994
0.01416016,-57.53238678,-58.49143219,-59.56891632,-61.50257492
0.01428223,-57.57563019,-56.37249374,-59.71917725,-61.25909424
0.01440430,-57.04204941,-54.85260391,-58.98813629,-59.79561615
0.01452637,-56.42107010,-55.09254456,-58.89711761,-59.16468811
0.01464844,-56.22853851,-56.17152786,-58.32640076,-58.64883041
0.01477051,-56.92537308,-57.07848358,-58.27300644,-58.38796234
0.01489258,-56.99383545,-57.86431122,-60.48143768,-59.42214203
0.01501465,-56.68204880,-58.12688828,-61.81208801,-61.22245407
0.01513672,-57.36664200,-57.42337799,-61.95375061,-64.28762054
0.01525879,-57.68051910,-57.10556793,-64.83186340,-69.11697388
0.01538086,-56.54662704,-57.18295670,-65.52094269,-72.79888153
0.01550293,-55.88219452,-57.05678558,-65.54875183,-74.50441742
0.01562500,-56.56342316,-57.86414719,-63.76070404,-70.00911713
0.01574707,-57.76801300,-60.05985260,-60.81997681,-63.81425858
0.01586914,-59.24560928,-60.69062042,-61.93866348,-60.84260941
0.01599121,-61.50486755,-60.10316467,-60.96356201,-59.54624939
0.01611328,-61.65590286,-61.04306030,-56.78946686,-58.48101044
0.01623535,-61.35373688,-63.90301132,-54.16334152,-57.49694061
0.01635742,-60.19382477,-67.12541199,-53.96596909,-56.83336258
0.01647949,-61.48782349,-66.90614319,-54.82242966,-55.84711075
0.01660156,-66.06781769,-67.12561035,-55.45226669,-54.89545822
0.01672363,-70.11396790,-74.33027649,-55.40980530,-54.97011566
0.01684570,-65.88639069,-65.03037262,-53.86100769,-55.44383240
0.01696777,-63.79714203,-60.25270844,-52.87394714,-55.19475555
0.01708984,-62.53613281,-58.84126663,-54.40147781,-54.91949081
0.01721192,-61.91713715,-59.58134460,-56.14715195,-55.07600403
0.01733399,-63.14660645,-60.94216156,-55.62543869,-54.92984390
0.01745606,-64.43209839,-60.32995605,-55.56853867,-54.74625397
0.01757813,-62.56919098,-57.80554962,-56.60299301,-54.47215271
0.01770020,-59.36997986,-56.06924057,-57.08106995,-54.03922653
0.01782227,-57.18701935,-56.37779236,-57.17271805,-53.73406219
0.01794434,-55.74475861,-57.46953583,-56.74996948,-53.82635117
