Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,-0.04060039,0.00000000,-0.04060039,-0.04075418
0.00999980,0.00000000,-0.04044661,0.00000000,-0.04075418
0.01999960,-0.04060039,0.00000000,0.00000000,-0.04075418
0.02999940,0.00000000,0.00000000,0.00000000,-0.04075418
0.03999920,0.00000000,0.00000000,0.00000000,-0.04075418
0.04999900,0.00000000,-0.04044661,0.00000000,-0.04075418
0.05999880,0.00000000,0.00000000,0.00000000,-0.04075418
0.06999860,0.00000000,0.00000000,0.00000000,0.00000000
0.07999840,0.00000000,0.00000000,0.00000000,-0.04075418
0.08999820,0.00000000,0.00000000,0.00000000,-0.04075418
0.09999800,0.00000000,0.00000000,0.00000000,-0.04075418
0.10999779,0.00000000,0.00000000,0.00000000,-0.04075418
0.11999759,0.00000000,0.00000000,0.00000000,-0.04075418
0.12999739,0.00000000,-0.04044661,0.00000000,-0.04075418
0.13999719,0.00000000,0.00000000,0.00000000,-0.04075418
0.14999699,0.00000000,0.00000000,0.00000000,-0.04075418
0.15999679,0.00000000,-0.04044661,0.00000000,-0.04075418
0.16999659,0.00000000,-0.04044661,0.00000000,-0.04075418
0.17999639,0.00000000,-0.04044661,0.00000000,-0.04075418
0.18999619,0.00000000,0.00000000,0.00000000,-0.04075418
0.19999599,-0.04060039,-0.04044661,0.00000000,-0.08166216
0.20999579,0.00000000,0.00000000,0.00000000,-0.04075418
0.21999559,0.00000000,0.00000000,-0.04060039,-0.04075418
0.22999539,0.00000000,-0.04044661,0.04060039,0.00000000
0.23999519,0.00000000,0.00000000,0.00000000,-0.04075418
0.24999499,-0.04060039,0.00000000,0.00000000,-0.04075418
0.25999479,0.00000000,0.00000000,0.00000000,0.00000000
0.26999459,0.00000000,0.00000000,0.04060039,-0.04075418
0.27999439,0.00000000,0.00000000,0.00000000,-0.04075418
0.28999419,-0.04060039,0.00000000,0.00000000,-0.04075418
0.29999399,0.00000000,0.00000000,0.00000000,-0.04075418
0.30999379,0.00000000,0.00000000,0.00000000,-0.04075418
0.31999359,0.00000000,0.00000000,0.00000000,-0.04075418
0.32999338,-0.04060039,-0.04044661,0.00000000,-0.04075418
0.33999318,-0.04060039,0.00000000,0.00000000,-0.04075418
0.34999298,0.00000000,0.00000000,0.00000000,-0.04075418
0.35999278,0.00000000,0.00000000,0.00000000,-0.04075418
0.36999258,0.00000000,-0.04044661,0.00000000,-0.04075418
0.37999238,0.00000000,0.00000000,0.00000000,-0.04075418
0.38999218,-0.04060039,0.00000000,-0.04060039,-0.04075418
0.39999198,0.00000000,-0.04044661,0.00000000,-0.04075418
0.40999178,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.41999158,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.42999138,0.00000000,0.00000000,0.00000000,-0.04075418
0.43999118,0.00000000,0.00000000,0.00000000,-0.04075418
0.44999098,0.00000000,0.00000000,0.00000000,-0.04075418
0.45999078,-0.04060039,-0.04044661,0.00000000,-0.04075418
0.46999058,-0.04060039,0.00000000,0.00000000,-0.04075418
0.47999038,-0.04060039,0.00000000,0.00000000,-0.04075418
0.48999018,-0.04060039,0.00000000,0.00000000,-0.04075418
0.49998998,0.00000000,-0.04044661,0.00000000,-0.04075418
0.50998978,-0.04060039,0.00000000,0.00000000,-0.04075418
0.51998958,-0.04060039,0.00000000,-0.04060039,-0.04075418
0.52998938,0.00000000,-0.04044661,0.00000000,-0.04075418
0.53998918,-0.04060039,0.00000000,0.00000000,-0.04075418
0.54998897,0.00000000,-0.04044661,0.00000000,-0.04075418
0.55998877,-0.04060039,0.00000000,-0.04060039,-0.04075418
0.56998857,0.00000000,0.00000000,0.00000000,-0.04075418
0.57998837,0.00000000,-0.04044661,0.00000000,-0.04075418
0.58998817,0.00000000,0.00000000,0.00000000,-0.04075418
0.59998797,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.60998777,0.00000000,-0.04044661,0.00000000,-0.04075418
0.61998757,0.00000000,-0.04044661,0.00000000,-0.04075418
0.62998737,-0.04060039,-0.04044661,0.00000000,-0.04075418
0.63998717,0.00000000,-0.04044661,0.00000000,0.00000000
0.64998697,0.00000000,-0.04044661,0.00000000,-0.04075418
0.65998677,0.00000000,-0.04044661,0.00000000,0.00000000
0.66998657,0.00000000,0.00000000,0.00000000,-0.04075418
0.67998637,0.00000000,0.00000000,0.00000000,-0.04075418
0.68998617,0.00000000,-0.04044661,0.00000000,-0.04075418
0.69998597,-0.04060039,0.00000000,0.00000000,-0.04075418
0.70998577,0.00000000,0.00000000,0.00000000,-0.04075418
0.71998557,0.00000000,-0.04044661,0.00000000,-0.04075418
0.72998537,0.00000000,0.00000000,0.00000000,-0.04075418
0.73998517,-0.04060039,0.00000000,0.00000000,-0.04075418
0.74998497,-0.04060039,-0.04044661,0.00000000,-0.04075418
0.75998477,0.00000000,0.00000000,-0.04060039,-0.04075418
0.76998456,0.00000000,0.00000000,0.00000000,0.00000000
0.77998436,0.00000000,-0.04044661,0.00000000,-0.04075418
0.78998416,0.00000000,0.00000000,0.00000000,-0.04075418
0.79998396,0.00000000,-0.04044661,0.00000000,-0.04075418
0.80998376,0.00000000,-0.04044661,0.00000000,0.00000000
0.81998356,0.00000000,-0.04044661,0.00000000,-0.04075418
0.82998336,0.00000000,-0.04044661,0.00000000,0.00000000
0.83998316,0.00000000,-0.04044661,0.00000000,-0.04075418
