Frequency,Channel A,Channel B,Channel C,Channel D
(Hz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-12.10448647,-17.10382843,-13.96757030,-16.88920021
0.03051758,-19.06841660,-22.45330048,-21.13502502,-22.07074356
0.06103516,-33.66415405,-36.38429260,-45.13766479,-31.82514000
0.09155274,-42.55394745,-39.46690369,-37.71036530,-37.75120163
0.12207032,-48.03760147,-44.90279388,-48.54461288,-39.34512329
0.15258790,-53.93577957,-48.62362671,-47.30813599,-41.85941696
0.18310548,-52.94968033,-50.37075806,-50.89204788,-44.36940002
0.21362306,-56.38740540,-52.76167297,-52.09049606,-48.30650711
0.24414064,-58.13894653,-55.13344193,-54.41759491,-53.29349899
0.27465822,-65.24758148,-56.10173035,-56.07395172,-60.81108093
0.30517580,-66.17173004,-58.55920410,-59.63744354,-68.61746216
0.33569338,-67.55789948,-60.11578369,-61.87577820,-68.53123474
0.36621096,-72.97634125,-64.78814697,-64.49346924,-66.69314575
0.39672854,-77.48006439,-68.48406219,-63.70660782,-71.66806793
0.42724612,-71.42765808,-75.58480072,-74.38619995,-74.93624878
0.45776370,-65.70584106,-74.77890778,-65.61518097,-76.67209625
0.48828128,-68.59375000,-73.06112671,-67.79860687,-76.14235687
0.51879886,-76.28259277,-70.96348572,-76.20162201,-69.24885559
0.54931644,-80.49696350,-66.59166718,-69.77545929,-70.02102661
0.57983402,-70.09499359,-67.00946045,-73.21807098,-76.75325012
0.61035160,-68.98710632,-71.47699738,-75.98822784,-74.15431213
0.64086918,-72.36684418,-74.09700012,-76.07891846,-72.06106567
0.67138676,-75.88660431,-79.23493958,-71.59239197,-71.58268738
0.70190434,-72.54032898,-78.04965210,-67.62670898,-69.25636292
0.73242192,-69.97043610,-84.09522247,-75.21946716,-69.76718903
0.76293950,-67.76690674,-82.44800568,-71.03455353,-74.01133728
0.79345708,-70.83740997,-78.62815094,-78.67630768,-74.80462646
0.82397466,-83.79029083,-74.04512024,-73.35093689,-71.10240936
0.85449224,-74.63649750,-82.94644165,-70.89486694,-67.78991699
0.88500982,-71.31207275,-73.24657440,-72.05092621,-65.45979309
0.91552740,-73.73260498,-71.29426575,-73.02349854,-66.88868713
0.94604498,-67.36682129,-76.15332794,-71.79589844,-72.73979950
0.97656256,-67.02119446,-87.24996948,-74.25408936,-79.91114807
1.00708014,-66.13417816,-99.56549835,-75.39225769,-70.65781403
1.03759772,-66.94844055,-73.94746399,-70.43804932,-67.39821625
1.06811530,-71.28005219,-70.86142731,-67.70450592,-65.53102112
1.09863288,-78.97779846,-67.52758026,-69.62072754,-70.41104889
1.12915046,-74.21345520,-68.01484680,-69.95597839,-68.28167725
1.15966804,-68.53289032,-81.19697571,-68.54953003,-77.37897491
1.19018562,-67.59770966,-70.29146576,-67.70715332,-79.64272308
1.22070320,-69.67345428,-66.99971008,-68.65444946,-82.50309753
1.25122078,-74.55025482,-68.25730133,-79.40567780,-80.58065796
1.28173836,-66.12651062,-67.52410126,-75.78902435,-70.10423279
1.31225594,-67.48204041,-63.78794861,-72.21574402,-71.84622192
1.34277352,-81.74641418,-64.40818024,-71.37861633,-82.28913879
1.37329110,-80.61062622,-70.24676514,-68.90469360,-72.59827423
1.40380868,-82.91642761,-77.82317352,-70.90061951,-70.29156494
1.43432626,-74.30683899,-69.06135559,-70.54196167,-71.69772339
1.46484384,-73.95633698,-66.05142212,-73.61585999,-72.54682922
1.49536142,-80.77523804,-69.01847076,-71.72138977,-71.06210327
1.52587900,-76.74533081,-78.66982269,-75.09794617,-72.45857239
1.55639658,-78.50829315,-90.35813141,-85.92826843,-74.48350525
1.58691416,-72.83934784,-80.48268127,-74.57135010,-72.38198853
1.61743174,-71.51686096,-77.22024536,-77.75245667,-70.58372498
1.64794932,-73.97268677,-77.20501709,-73.83798218,-67.95849609
1.67846690,-76.55519104,-75.20022583,-69.96653748,-70.30955505
1.70898448,-76.15971375,-75.93553925,-75.07115936,-69.02072906
1.73950206,-72.69625092,-79.01354980,-70.83341980,-70.19375610
1.77001964,-71.25145721,-76.45508575,-70.07720184,-78.05287170
1.80053722,-71.11491394,-71.33755493,-74.69068146,-77.08010864
1.83105480,-72.62206268,-71.06854248,-76.54152679,-73.74634552
1.86157238,-73.08232117,-70.48278809,-82.22889709,-70.52645874
1.89208996,-68.36743927,-67.80828857,-72.90037537,-70.31835938
1.92260754,-66.77191162,-68.28769684,-70.93544769,-83.97956848
1.95312512,-66.90731812,-71.80335999,-70.63597107,-71.78536987
1.98364270,-67.41153717,-74.98373413,-68.95507812,-67.98841095
2.01416028,-70.42388916,-81.04190826,-71.14441681,-68.49466705
2.04467786,-70.25634003,-78.19901276,-75.37931824,-72.57416534
2.07519544,-68.71012878,-77.78050232,-72.67758179,-90.97046661
2.10571302,-72.65852356,-78.50093079,-69.38604736,-77.06957245
2.13623060,-79.67279053,-68.21844482,-69.11277771,-74.31059265
2.16674818,-69.71452332,-68.12654114,-71.59983826,-75.89797974
2.19726576,-66.56848145,-73.27214050,-71.43148804,-76.67463684
2.22778334,-68.54042053,-77.38159180,-70.94464111,-71.85520935
2.25830092,-74.26490021,-80.73573303,-69.11871338,-74.28045654
2.28881850,-74.85147858,-94.00053406,-67.54631805,-81.48499298
2.31933608,-69.13935089,-80.60402679,-71.72270203,-82.26197815
2.34985366,-71.12785339,-79.33366394,-79.20162201,-75.09545898
2.38037124,-70.28901672,-83.80554962,-73.46525574,-67.19636536
2.41088882,-71.09828949,-80.84941864,-89.05842590,-63.92727661
2.44140640,-70.54460144,-72.59896088,-71.80574036,-64.29795074
2.47192398,-74.40606689,-69.83808899,-69.66868591,-68.11671448
2.50244156,-75.93011475,-71.96116638,-72.19254303,-77.06101227
2.53295914,-72.76950073,-69.62935638,-76.99229431,-75.45597839
2.56347672,-78.16796112,-70.28148651,-79.73395538,-73.25387573
2.59399430,-77.29576111,-81.55342102,-76.78411865,-76.35859680
2.62451188,-71.15990448,-80.72621155,-89.47432709,-76.78002167
2.65502946,-66.21686554,-76.03321838,-76.64205170,-80.54229736
2.68554704,-67.08760834,-74.92329407,-72.71456909,-71.50172424
2.71606462,-74.04534149,-78.56604767,-72.64439392,-69.10391235
2.74658220,-71.77069092,-84.45838928,-76.30148315,-70.67665100
2.77709978,-70.43867493,-77.16294861,-70.89548492,-70.59759521
2.80761736,-71.18706512,-71.99433136,-65.47574615,-74.96176910
2.83813494,-72.40382385,-70.03843689,-68.05912781,-75.95312500
2.86865252,-73.79390717,-70.97067261,-73.38002014,-76.97612000
2.89917010,-71.88980103,-74.72126770,-72.90159607,-78.72719574
2.92968768,-68.04659271,-71.77920532,-74.70997620,-87.33985901
