Time,Channel A
(s),(V)

0.00000000,0.00000000
0.01333334,0.00000000
0.02666667,0.04629060
0.04000001,0.00000000
0.05333335,0.00000000
0.06666668,0.00000000
0.08000002,0.00000000
0.09333336,0.00000000
0.10666669,0.00000000
0.12000003,0.00000000
0.13333336,0.00000000
0.14666670,0.04629060
0.16000004,0.00000000
0.17333337,0.00000000
0.18666671,0.00000000
0.20000005,0.00000000
0.21333338,0.00000000
0.22666672,0.00000000
0.24000006,0.00000000
0.25333339,0.00000000
0.26666673,0.04629060
0.28000007,0.04629060
0.29333340,0.00000000
0.30666674,0.00000000
0.32000007,0.04629060
0.33333341,0.00000000
0.34666675,0.00000000
0.36000008,0.00000000
0.37333342,0.00000000
0.38666676,0.00000000
0.40000009,0.00000000
0.41333343,0.00000000
0.42666677,0.00000000
0.44000010,0.00000000
0.45333344,0.00000000
0.46666678,0.00000000
0.48000011,0.00000000
0.49333345,0.04629060
0.50666679,0.00000000
0.52000012,0.00000000
0.53333346,0.00000000
0.54666679,0.00000000
0.56000013,0.00000000
0.57333347,0.00000000
0.58666680,0.00000000
0.60000014,0.00000000
0.61333348,0.00000000
0.62666681,0.04629060
0.64000015,0.00000000
0.65333349,0.00000000
0.66666682,0.00000000
0.68000016,0.00000000
0.69333350,0.00000000
0.70666683,0.00000000
0.72000017,0.00000000
0.73333350,0.04629060
0.74666684,0.00000000
0.76000018,0.00000000
0.77333351,0.00000000
0.78666685,0.04629060
0.80000019,0.00000000
0.81333352,0.00000000
0.82666686,0.04629060
0.84000020,0.00000000
0.85333353,0.04629060
0.86666687,0.00000000
0.88000021,0.00000000
0.89333354,0.00000000
0.90666688,0.00000000
0.92000022,0.00000000
0.93333355,0.00000000
0.94666689,0.00000000
0.96000022,0.00000000
0.97333356,0.04629060
0.98666690,0.00000000
1.00000023,0.00000000
1.01333357,0.00000000
1.02666691,0.00000000
1.04000024,0.04629060
1.05333358,0.00000000
1.06666692,0.00000000
1.08000025,0.00000000
1.09333359,0.00000000
1.10666693,0.00000000
1.12000026,0.00000000
1.13333360,0.00000000
1.14666693,0.00000000
1.16000027,0.00000000
1.17333361,0.00000000
1.18666694,0.00000000
1.20000028,0.00000000
1.21333362,0.00000000
1.22666695,0.04629060
1.24000029,0.00000000
1.25333363,0.04629060
1.26666696,0.00000000
1.28000030,0.00000000
1.29333364,0.00000000
1.30666697,0.00000000
1.32000031,0.00000000
1.33333365,0.00000000
1.34666698,0.00000000
1.36000032,0.00000000
1.37333365,0.00000000
1.38666699,0.00000000
1.40000033,0.00000000
1.41333366,0.00000000
1.42666700,0.04629060
1.44000034,0.00000000
1.45333367,0.00000000
1.46666701,0.00000000
1.48000035,0.00000000
1.49333368,0.00000000
1.50666702,0.00000000
1.52000036,0.00000000
1.53333369,0.00000000
1.54666703,0.00000000
1.56000036,0.00000000
1.57333370,0.04629060
1.58666704,0.00000000
1.60000037,0.00000000
1.61333371,0.00000000
1.62666705,0.00000000
1.64000038,0.00000000
1.65333372,0.00000000
1.66666706,0.00000000
1.68000039,0.00000000
1.69333373,0.00000000
1.70666707,0.00000000
1.72000040,0.00000000
1.73333374,0.00000000
1.74666707,0.00000000
1.76000041,0.00000000
1.77333375,0.00000000
1.78666708,0.00000000
1.80000042,0.00000000
1.81333376,0.00000000
1.82666709,0.00000000
1.84000043,0.00000000
1.85333377,0.00000000
1.86666710,0.04629060
1.88000044,0.00000000
1.89333378,0.00000000
1.90666711,0.04629060
1.92000045,0.00000000
1.93333379,0.00000000
1.94666712,0.04629060
1.96000046,0.04629060
1.97333379,0.00000000
1.98666713,0.00000000
2.00000047,0.00000000
2.01333380,0.00000000
2.02666714,0.00000000
2.04000048,0.00000000
2.05333381,0.00000000
2.06666715,0.00000000
2.08000049,0.00000000
2.09333382,0.04629060
2.10666716,0.04629060
2.12000050,0.04629060
2.13333383,0.04629060
2.14666717,0.00000000
2.16000050,0.00000000
2.17333384,0.04629060
2.18666718,0.04629060
2.20000051,0.00000000
2.21333385,0.00000000
2.22666719,0.00000000
2.24000052,0.00000000
2.25333386,0.04629060
2.26666720,0.04629060
2.28000053,0.00000000
2.29333387,0.04629060
2.30666721,0.04629060
2.32000054,0.04629060
2.33333388,0.04629060
2.34666722,0.04629060
