Time,Channel A,Channel B,Channel C,Channel D
(s),(V),(V),(V),(V)

0.00000000,0.00000000,-0.04044661,0.00000000,-0.04075418
0.01333334,0.00000000,-0.04044661,0.00000000,-0.04075418
0.02666667,0.00000000,0.00000000,0.00000000,-0.04075418
0.04000001,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.05333335,0.04060039,-0.04044661,0.00000000,-0.04075418
0.06666668,0.00000000,-0.04044661,0.00000000,-0.04075418
0.08000002,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.09333336,0.00000000,0.00000000,-0.04060039,-0.04075418
0.10666669,0.00000000,-0.04044661,0.00000000,0.00000000
0.12000003,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.13333336,0.00000000,0.00000000,0.00000000,0.00000000
0.14666670,0.04060039,-0.04044661,0.00000000,-0.04075418
0.16000004,0.00000000,0.00000000,0.00000000,-0.04075418
0.17333337,0.00000000,-0.04044661,0.00000000,-0.04075418
0.18666671,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.20000005,0.00000000,0.00000000,0.00000000,-0.04075418
0.21333338,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.22666672,0.00000000,-0.04044661,0.00000000,-0.04075418
0.24000006,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.25333339,0.04060039,-0.04044661,0.00000000,-0.04075418
0.26666673,0.00000000,0.00000000,0.00000000,-0.04075418
0.28000007,0.00000000,0.00000000,-0.04060039,-0.04075418
0.29333340,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.30666674,0.04060039,-0.04044661,-0.04060039,-0.04075418
0.32000007,0.00000000,-0.04044661,0.00000000,-0.04075418
0.33333341,0.00000000,0.00000000,0.00000000,-0.04075418
0.34666675,0.00000000,-0.04044661,-0.04060039,0.00000000
0.36000008,0.00000000,-0.04044661,0.00000000,-0.04075418
0.37333342,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.38666676,0.00000000,-0.04044661,0.00000000,-0.04075418
0.40000009,0.00000000,0.00000000,0.00000000,-0.04075418
0.41333343,0.04060039,-0.04044661,0.00000000,-0.04075418
0.42666677,0.04060039,-0.04044661,0.00000000,-0.04075418
0.44000010,0.00000000,-0.04044661,-0.04060039,0.00000000
0.45333344,0.04060039,-0.04044661,0.00000000,-0.04075418
0.46666678,0.00000000,0.00000000,0.00000000,-0.04075418
0.48000011,0.00000000,-0.04044661,0.00000000,-0.04075418
0.49333345,0.04060039,-0.04044661,-0.04060039,-0.04075418
0.50666679,0.00000000,-0.04044661,0.00000000,-0.04075418
0.52000012,0.00000000,-0.04044661,0.00000000,-0.04075418
0.53333346,0.00000000,-0.04044661,0.00000000,-0.04075418
0.54666679,0.04060039,0.00000000,0.00000000,-0.04075418
0.56000013,0.04060039,-0.04044661,0.00000000,-0.04075418
0.57333347,0.00000000,-0.04044661,0.00000000,-0.04075418
0.58666680,0.00000000,0.00000000,0.00000000,0.00000000
0.60000014,0.00000000,-0.04044661,0.00000000,-0.04075418
0.61333348,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.62666681,0.00000000,-0.04044661,-0.04060039,-0.08166216
0.64000015,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.65333349,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.66666682,0.04060039,-0.04044661,0.00000000,-0.04075418
0.68000016,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.69333350,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.70666683,0.00000000,-0.04044661,0.00000000,-0.04075418
0.72000017,0.00000000,-0.04044661,0.00000000,-0.04075418
0.73333350,0.00000000,0.00000000,0.00000000,-0.04075418
0.74666684,0.00000000,-0.04044661,0.00000000,-0.08166216
0.76000018,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.77333351,0.04060039,-0.04044661,-0.04060039,-0.04075418
0.78666685,0.00000000,-0.04044661,-0.04060039,0.00000000
0.80000019,0.00000000,0.00000000,-0.04060039,-0.04075418
0.81333352,-0.04060039,-0.04044661,0.00000000,0.00000000
0.82666686,0.00000000,-0.04044661,0.00000000,-0.04075418
0.84000020,0.04060039,-0.04044661,0.00000000,-0.04075418
0.85333353,0.00000000,-0.04044661,0.00000000,-0.04075418
0.86666687,0.00000000,-0.04044661,0.00000000,-0.04075418
0.88000021,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.89333354,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.90666688,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.92000022,0.00000000,-0.04044661,0.00000000,-0.04075418
0.93333355,0.00000000,-0.04044661,0.00000000,-0.04075418
0.94666689,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.96000022,0.00000000,0.00000000,0.00000000,-0.08166216
0.97333356,0.00000000,-0.04044661,-0.04060039,-0.04075418
0.98666690,0.00000000,-0.04044661,0.00000000,0.00000000
1.00000023,0.00000000,-0.04044661,0.00000000,0.00000000
1.01333357,0.04060039,-0.04044661,-0.04060039,-0.04075418
1.02666691,0.00000000,0.00000000,0.00000000,0.00000000
1.04000024,0.00000000,-0.04044661,0.00000000,-0.04075418
1.05333358,0.00000000,-0.04044661,-0.04060039,-0.04075418
1.06666692,0.00000000,-0.04044661,0.00000000,-0.04075418
1.08000025,0.00000000,-0.04044661,-0.04060039,-0.04075418
1.09333359,0.00000000,0.00000000,0.00000000,0.00000000
1.10666693,0.00000000,-0.04044661,0.00000000,-0.04075418
