Frequency,Channel A,Channel B,Channel C,Channel D
(kHz),(dBu),(dBu),(dBu),(dBu)

0.00000000,-35.80790710,-25.90310287,-38.26976776,-20.76401711
0.00012207,-42.84809494,-33.40164185,-45.61218262,-28.29412460
0.00024414,-54.49966431,-48.83026505,-59.05001068,-44.46274567
0.00036621,-62.45273209,-68.68729401,-69.20502472,-72.15440369
0.00048828,-64.04634094,-79.22032928,-69.99263000,-72.49977875
0.00061035,-63.76769257,-76.65708923,-67.75582886,-74.63108826
0.00073242,-65.90745544,-73.28900146,-70.32990265,-75.68817902
0.00085449,-80.64553833,-69.60086823,-80.15245056,-73.59564209
0.00097656,-71.48037720,-69.06484985,-71.88714600,-72.13722229
0.00109863,-70.64288330,-70.23818970,-72.44475555,-68.52722168
0.00122070,-67.96540833,-69.28161621,-72.24436951,-67.58240509
0.00134277,-72.16367340,-67.52480316,-81.65412140,-68.70667267
0.00146484,-82.82810211,-68.52560425,-81.12489319,-69.23033142
0.00158691,-80.13267517,-73.57710266,-76.43752289,-70.32786560
0.00170898,-82.09272766,-77.75010681,-77.29754639,-72.39460754
0.00183105,-81.59450531,-77.13512421,-77.74319458,-72.52155304
0.00195313,-73.03397369,-76.34745789,-72.41234589,-70.04338837
0.00207520,-69.39112854,-79.82150269,-74.50112152,-69.09228516
0.00219727,-72.45240021,-76.20204163,-73.90832520,-74.10600281
0.00231934,-76.22163391,-78.00181580,-69.82516479,-78.23969269
0.00244141,-77.28206635,-71.05104065,-69.69795990,-83.87249756
0.00256348,-76.88469696,-69.91381836,-71.54145813,-72.43540955
0.00268555,-72.09294891,-71.61297607,-71.19768524,-72.98529816
0.00280762,-72.81111908,-71.02797699,-69.90866852,-76.15483093
0.00292969,-75.30604553,-67.67267609,-70.67401886,-72.85514069
0.00305176,-72.33068085,-69.51800537,-68.76787567,-73.06243896
0.00317383,-69.01995087,-75.72389221,-69.37885284,-77.51261139
0.00329590,-68.18850708,-71.76466370,-77.48616028,-69.76483917
0.00341797,-69.87817383,-70.78057861,-75.07064056,-65.82080078
0.00354004,-69.99113464,-71.74011993,-75.38507080,-64.59989166
0.00366211,-71.27143097,-72.13910675,-73.60397339,-64.04246521
0.00378418,-81.41902161,-75.14386749,-72.92578888,-64.25831604
0.00390625,-83.17543030,-73.01734924,-73.55972290,-67.89584351
0.00402832,-86.27297974,-77.43184662,-77.69394684,-71.37998962
0.00415039,-69.85091400,-73.43432617,-75.56531525,-70.59289551
0.00427246,-68.09355164,-69.33779144,-78.54748535,-78.36173248
0.00439453,-73.09825134,-66.34634399,-70.29768372,-79.16086578
0.00451660,-75.29941559,-66.31132507,-68.28419495,-82.26439667
0.00463867,-85.11318207,-70.97726440,-75.39643097,-77.51634216
0.00476074,-70.19357300,-84.73112488,-71.26206970,-79.29878235
0.00488281,-65.53456116,-73.73260498,-71.45796967,-71.78646851
0.00500488,-71.30403137,-80.02884674,-74.13687897,-73.43927002
0.00512695,-82.56306458,-86.69555664,-70.44722748,-76.54269409
0.00524902,-76.71472931,-83.88352966,-68.52138519,-88.88673401
0.00537109,-76.95061493,-73.28644562,-70.90345001,-74.75394440
0.00549316,-75.91683197,-74.82333374,-76.09866333,-77.08800507
0.00561523,-69.20984650,-76.41413879,-103.67576599,-94.68453979
0.00573731,-68.14154053,-70.35064697,-82.32331085,-83.81241608
0.00585938,-72.52151489,-77.81584930,-82.80033875,-90.30523682
0.00598145,-76.10108185,-79.44537354,-78.30889893,-77.47411346
0.00610352,-72.83398438,-73.97873688,-80.20637512,-76.58254242
0.00622559,-80.81907654,-77.03985596,-69.28643036,-78.76130676
0.00634766,-83.32871246,-81.72439575,-69.94305420,-71.52276611
0.00646973,-75.29129791,-74.68629456,-70.19852448,-72.54636383
0.00659180,-74.52851105,-74.90267181,-74.60610962,-71.12416077
0.00671387,-80.44770050,-83.52900696,-74.96094513,-67.99029541
0.00683594,-81.98187256,-73.39578247,-71.92097473,-67.92918396
0.00695801,-79.87217712,-72.86683655,-71.99292755,-69.00102997
0.00708008,-88.74932861,-76.24478149,-73.98950958,-71.90949249
0.00720215,-87.78694153,-76.50141907,-77.97195435,-72.04575348
0.00732422,-86.59358215,-72.66602325,-74.38386536,-80.17266846
0.00744629,-71.01625061,-73.46629333,-74.66187286,-76.34088135
0.00756836,-70.00529480,-69.51558685,-72.68118286,-70.56788635
0.00769043,-72.05635071,-71.93732452,-78.28391266,-71.41579437
0.00781250,-68.53257751,-75.39395142,-78.73345184,-74.75428772
0.00793457,-68.60507202,-79.83506012,-71.78087616,-74.42745972
0.00805664,-73.39749146,-81.93039703,-70.97120667,-77.97606659
0.00817871,-82.82025146,-72.73485565,-75.24983215,-86.48675537
0.00830078,-73.54374695,-74.25446320,-78.25866699,-77.44166565
0.00842285,-65.74768066,-74.22265625,-77.66193390,-74.50120544
0.00854492,-63.58039474,-72.97785187,-75.66107178,-68.07263184
0.00866699,-64.76000977,-74.70109558,-71.52301025,-70.35049438
0.00878906,-70.64418030,-76.26891327,-69.65406036,-81.20999146
0.00891113,-72.23296356,-85.05876160,-70.73945618,-75.45153809
0.00903320,-72.38360596,-72.97613525,-69.43495178,-70.08212280
0.00915527,-75.36433411,-68.60199738,-69.76321411,-69.20806122
0.00927734,-73.78404236,-68.84478760,-71.82057953,-68.02157593
0.00939941,-81.00841522,-74.74887085,-71.96920776,-68.70465088
0.00952148,-73.79763031,-75.30352783,-71.71218109,-79.41178131
0.00964356,-70.10884857,-70.23299408,-71.77086639,-71.09459686
0.00976563,-70.20191956,-70.49875641,-76.93183899,-66.03641510
0.00988770,-73.75025940,-76.64308929,-75.73813629,-66.07413483
0.01000977,-78.90891266,-84.96169281,-69.48556519,-68.86846924
0.01013184,-71.80895996,-79.79695129,-70.70196533,-75.59334564
0.01025391,-70.77010345,-71.96293640,-72.75609589,-81.78855133
0.01037598,-81.72663879,-69.61000061,-74.29596710,-77.73538208
0.01049805,-74.72071075,-69.13603973,-77.33728790,-92.02151489
0.01062012,-73.02473450,-75.40281677,-72.54307556,-75.18500519
0.01074219,-76.09271240,-70.92397308,-70.74682617,-68.89591217
0.01086426,-70.31089783,-63.70329285,-68.39164734,-66.17455292
0.01098633,-72.46875000,-65.00736237,-69.71971130,-70.33248901
0.01110840,-85.49824524,-76.37953949,-71.96891022,-70.05290222
0.01123047,-83.63151550,-78.05381775,-69.52639771,-66.76821136
0.01135254,-75.98473358,-91.53933716,-74.85194397,-70.38453674
0.01147461,-69.02285767,-80.03868866,-74.66960144,-79.29486084
0.01159668,-70.04336548,-76.62754822,-70.77965546,-69.89300537
0.01171875,-74.13471985,-71.26162720,-75.22920990,-68.15121460
0.01184082,-85.51245117,-71.59828949,-76.81023407,-68.48578644
0.01196289,-75.29425812,-69.29135132,-73.10034943,-69.76866150
0.01208496,-72.05349731,-68.17622375,-81.36094666,-77.83938599
0.01220703,-76.76319885,-78.56995392,-81.75322723,-75.51184845
0.01232910,-77.67087555,-71.38603210,-71.39373016,-73.60600281
0.01245117,-74.10228729,-69.32557678,-68.96086884,-83.71519470
0.01257324,-76.11572266,-78.49513245,-73.13797760,-72.81901550
0.01269531,-78.97015381,-76.74333191,-84.14573669,-70.53343964
0.01281738,-90.68998718,-76.46466827,-79.16637421,-72.89987946
0.01293945,-69.68003082,-78.60360718,-72.54036713,-73.74091339
0.01306152,-67.04920197,-66.89521027,-69.37721252,-69.08694458
0.01318359,-70.26774597,-67.69965363,-79.10423279,-70.54472351
0.01330566,-74.54449463,-75.75045013,-70.53450012,-76.56695557
0.01342774,-74.06031799,-73.77109528,-68.12915039,-69.96675110
0.01354981,-72.28804779,-70.77770996,-68.99740601,-67.32702637
0.01367188,-79.03412628,-69.28301239,-72.32769775,-67.90215302
0.01379395,-77.84570312,-71.92835999,-76.80736542,-69.31603241
0.01391602,-82.69402313,-85.25505829,-87.63701630,-71.47957611
0.01403809,-76.94876862,-85.41751862,-75.90702820,-75.16996002
0.01416016,-70.73209381,-82.98908997,-73.23318481,-76.50877380
0.01428223,-70.40467834,-73.23184204,-77.46504974,-69.10940552
0.01440430,-68.92286682,-71.62882233,-76.89884949,-68.41218567
0.01452637,-67.50690460,-72.62829590,-76.49014282,-69.01262665
0.01464844,-70.75312805,-75.44451904,-92.25684357,-73.62565613
0.01477051,-74.88705444,-71.29060364,-75.68077087,-74.76380157
0.01489258,-78.38299561,-76.15542603,-71.76077271,-70.75016785
0.01501465,-71.33995819,-74.01304626,-75.17391968,-76.16537476
0.01513672,-73.02842712,-68.82221222,-81.26503754,-71.67402649
0.01525879,-74.94843292,-75.83461761,-73.80303955,-65.25654602
0.01538086,-74.19789124,-85.65270996,-83.96895599,-66.10494995
0.01550293,-72.75274658,-77.18872833,-69.60296631,-68.83681488
0.01562500,-75.21514130,-79.20147705,-68.26719666,-73.63560486
0.01574707,-83.36608887,-87.62522888,-74.75501251,-85.48904419
0.01586914,-78.43305969,-75.03762817,-79.84777069,-75.92253876
0.01599121,-76.40359497,-72.50182343,-82.74650574,-75.19373322
0.01611328,-78.62444305,-71.96256256,-77.72402954,-77.90080261
0.01623535,-72.47753143,-72.10910034,-79.18328857,-77.46907806
0.01635742,-74.41740417,-80.99855042,-74.05185699,-69.07367706
0.01647949,-80.65032959,-95.97954559,-75.74835968,-68.14269257
0.01660156,-75.59738922,-77.16292572,-70.67087555,-73.87924194
0.01672363,-74.92243958,-69.29372406,-70.07203674,-76.67327118
0.01684570,-80.36231232,-67.85393524,-78.21341705,-73.08953094
0.01696777,-83.29759216,-69.32273102,-78.67738342,-80.22610474
0.01708984,-74.69108582,-72.24234009,-69.66415405,-75.88202667
0.01721192,-68.33783722,-75.67727661,-72.15676117,-74.62651062
0.01733399,-70.66191101,-77.81031799,-75.84334564,-76.75109100
0.01745606,-78.55584717,-80.68945312,-69.20728302,-69.77667999
0.01757813,-74.20157623,-77.11608124,-69.83908081,-70.23011780
0.01770020,-72.82059479,-79.51519775,-74.26949310,-77.89439392
0.01782227,-72.85192871,-80.49590302,-78.53678894,-82.71997070
0.01794434,-82.34264374,-79.58161163,-73.39257050,-80.21504211
