frame,timestamp_sec,detected,line_point_x,line_point_y,line_dir_x,line_dir_y,line_angle_deg,longest_width_px
1,0.034026070763500935,True,102.21,113.5,0.9996,0.0281,1.61,136.34
2,0.06805214152700187,True,102.47,112.58,0.9997,0.0248,1.42,159.98
3,0.10207821229050279,True,102.95,113.55,0.9996,0.0287,1.64,135.68
4,0.13610428305400374,True,103.4,113.61,0.9996,0.0278,1.59,136.64
5,0.17013035381750466,True,103.6,113.47,0.9997,0.0258,1.48,138.31
6,0.20415642458100558,True,103.64,113.51,0.9997,0.0257,1.47,139.48
7,0.23818249534450653,True,103.45,113.69,0.9996,0.0269,1.54,135.53
8,0.2722085661080075,True,103.08,113.69,0.9997,0.0261,1.49,134.65
9,0.30623463687150837,True,102.61,113.54,0.9997,0.0264,1.51,133.66
10,0.3402607076350093,True,101.61,112.57,0.9997,0.0241,1.38,161.89
11,0.37428677839851027,True,100.85,113.41,0.9997,0.0256,1.47,135.07
12,0.40831284916201116,True,100.77,112.5,0.9997,0.0244,1.4,157.41
13,0.4423389199255121,True,99.96,112.52,0.9997,0.023,1.32,155.69
14,0.47636499068901306,True,100.03,113.34,0.9997,0.0249,1.43,135.1
15,0.510391061452514,True,100.13,113.36,0.9997,0.0261,1.5,132.65
16,0.544417132216015,True,100.56,112.45,0.9997,0.0229,1.31,160.86
17,0.5784432029795158,True,101.14,113.42,0.9997,0.0237,1.36,134.37
18,0.6124692737430167,True,101.7,112.52,0.9998,0.0211,1.21,160.03
19,0.6464953445065177,True,102.53,112.54,0.9998,0.0216,1.24,160.33
20,0.6805214152700186,True,103.96,113.52,0.9997,0.0245,1.41,135.09
21,0.7145474860335196,True,104.78,112.58,0.9998,0.0212,1.22,158.44
22,0.7485735567970205,True,105.6,112.67,0.9997,0.0229,1.31,159.18
23,0.7825996275605215,True,105.77,113.52,0.9996,0.0277,1.59,136.55
24,0.8166256983240223,True,105.84,113.53,0.9997,0.0262,1.5,136.84
25,0.8506517690875233,True,105.53,113.51,0.9996,0.028,1.61,138.34
26,0.8846778398510242,True,104.7,113.32,0.9996,0.0271,1.56,141.43
27,0.9187039106145252,True,103.86,113.2,0.9996,0.029,1.66,140.84
28,0.9527299813780261,True,103.18,113.17,0.9995,0.03,1.72,141.86
29,0.9867560521415271,True,102.42,113.13,0.9995,0.0322,1.84,141.57
30,1.020782122905028,True,101.45,113.22,0.9993,0.0365,2.09,139.5
31,1.054808193668529,True,100.55,112.98,0.9994,0.0339,1.94,140.54
32,1.08883426443203,True,100.17,113.1,0.9993,0.0386,2.21,142.01
33,1.1228603351955309,True,100.08,113.22,0.9993,0.0372,2.13,137.83
34,1.1568864059590316,True,100.47,113.29,0.9994,0.0356,2.04,138.4
35,1.1909124767225325,True,101.04,113.35,0.9993,0.0372,2.13,139.79
36,1.2249385474860335,True,101.87,113.56,0.9992,0.0409,2.35,136.88
37,1.2589646182495344,True,102.54,113.55,0.9991,0.0421,2.41,135.59
38,1.2929906890130354,True,103.51,113.74,0.9991,0.0416,2.38,137.71
39,1.3270167597765363,True,104.15,113.64,0.9992,0.0401,2.3,135.08
40,1.3610428305400373,True,105.09,112.8,0.9993,0.0366,2.1,158.13
41,1.3950689013035382,True,105.31,113.61,0.9992,0.0398,2.28,137.36
42,1.4290949720670392,True,105.68,112.79,0.9993,0.0362,2.08,155.59
43,1.4631210428305401,True,106.36,113.62,0.9992,0.039,2.23,137.71
44,1.497147113594041,True,106.46,113.6,0.9992,0.0411,2.36,136.33
45,1.531173184357542,True,106.41,113.66,0.9992,0.0412,2.36,136.31
46,1.565199255121043,True,105.82,113.63,0.9992,0.0403,2.31,137.26
47,1.599225325884544,True,105.4,113.67,0.9992,0.0392,2.24,136.98
48,1.6332513966480446,True,104.41,113.76,0.9992,0.0407,2.33,136.4
49,1.6672774674115456,True,103.55,113.6,0.9991,0.0424,2.43,136.89
50,1.7013035381750465,True,102.9,113.7,0.999,0.0436,2.5,136.38
51,1.7353296089385475,True,102.53,112.74,0.9991,0.0414,2.37,156.83
52,1.7693556797020484,True,102.17,112.76,0.9992,0.0411,2.35,157.34
53,1.8033817504655494,True,101.78,113.59,0.999,0.0446,2.56,136.61
54,1.8374078212290503,True,101.75,113.6,0.999,0.0446,2.56,135.93
55,1.8714338919925513,True,101.87,113.65,0.9991,0.0424,2.43,135.73
56,1.9054599627560522,True,102.57,113.69,0.9992,0.0411,2.36,134.91
57,1.9394860335195532,True,103.08,112.86,0.9993,0.0382,2.19,157.42
58,1.9735121042830541,True,103.73,112.77,0.9992,0.0396,2.27,157.82
59,2.007538175046555,True,104.49,112.78,0.9993,0.0386,2.21,161.74
60,2.041564245810056,True,105.18,113.75,0.9992,0.0393,2.25,133.03
61,2.0755903165735567,True,106.03,112.91,0.9993,0.0378,2.17,156.71
62,2.109616387337058,True,106.77,113.78,0.9991,0.0414,2.37,133.26
63,2.1436424581005586,True,107.0,112.99,0.9992,0.0397,2.27,158.65
64,2.17766852886406,True,107.03,112.99,0.9992,0.0406,2.33,158.35
65,2.2116945996275605,True,106.86,112.94,0.9992,0.0412,2.36,155.35
66,2.2457206703910617,True,106.27,113.64,0.9991,0.042,2.41,138.04
67,2.2797467411545624,True,105.5,113.73,0.999,0.0456,2.62,136.97
68,2.313772811918063,True,104.28,112.87,0.999,0.0438,2.51,152.91
69,2.3477988826815643,True,102.78,113.33,0.9989,0.0463,2.66,144.04
70,2.381824953445065,True,101.76,113.79,0.9991,0.0435,2.5,135.69
